TaxonID	3847
MappingPopulation	Toyomusume_x_Harosoy
Title	A major QTL, qPDH1, is commonly involved in shattering resistance of soybean cultivars
Pod dehiscence 4-1	Shattering
Pod dehiscence 4-2	Shattering
