TaxonID	3847
MappingPopulation	PI88287_x_PI89008
Journal	Molecular Plant Microbe Interactions
Year	2001
Volume	14
Pages	42-54
Title	Modulations in gene expression and mapping of genes associated with cyst nematode infection of soybean
SCN 15-1	Reaction to Heterodera glycines
