TaxonID	3847
MappingPopulation	PI437654_x_Bell
Journal	Theoretical and Applied Genetics
Year	2005
Volume	111
Pages	44-49
Title	Rhg1 alleles from soybean PI 437654 and PI 88788 respond differentially to isolates of Heterodera glycines in the greenhouse
SCN 30-1	Reaction to Heterodera glycines
SCN 30-2	Reaction to Heterodera glycines
SCN 30-3	Reaction to Heterodera glycines
