TaxonID	3847
MappingPopulation	S99-2281_x_PI408105A
Title	Mapping of quantitative trait loci associated with resistance to Phytophthora sojae and flooding tolerance in soybean
Flooding yield index 1-1	Flooding yield index
Flooding yield index 1-2	Flooding yield index
Flooding yield index 1-3	Flooding yield index
Flooding yield index 1-4	Flooding yield index
Phytoph 12-1	Reaction to Phytophthora sojae infection
Phytoph 12-2	Reaction to Phytophthora sojae infection
