TaxonID	3847
MappingPopulation	Dunbar(PI552538)_x_G.soja(PI326582A)
Journal	PLOS ONE
Title	Identification of Novel QTL Governing Root Architectural Traits in an Interspecific Soybean Population
Root density, lateral 3-1	Lateral root number
Root length, primary 4-1	Primary Root Length
Shoot length 1-1	Main Stem Length
Shoot weight, dry 3-1	shoot weight, dry
Shoot weight, dry 3-2	shoot weight, dry
