TaxonID	3847
MappingPopulation	Keunol_x_Iksan10
Journal	Molecular Breeding
Title	Positional mapping and identification of novel quantitative trait locus responsible for UV-B radiation tolerance in soybean [Glycine maxÊ(L.) Merr.]
Chlorosis, leaflet UV-B induced 2-1	UV-B induced leaflet chlorosis
Leaflet shape, UV-B induced 2-1	UV-B induced leaflet shape response
Plant damage, UV-B induced 2-1	UV-B induced plant damage
