MySQL [soybase]> select QTLName,db_accn FROM qtl_xref_table WHERE db_id='TO';
+--------------------------------------+-------------+
| QTLName                              | db_accn     |
| Pod maturity, beginning 1-3          | TO:0002661  |
| Pod maturity, beginning 2-1          | TO:0002661  |
| Pod maturity, beginning 2-2          | TO:0002661  |
| Reproductive stage length 1-1        | TO:0000366  |
| Reproductive stage length 1-2        | TO:0000366  |
| Reproductive stage length 2-1        | TO:0000366  |
| Reproductive stage length 2-2        | TO:0000366  |
| Reproductive stage length 3-1        | TO:0000366  |
| Reproductive stage length 3-2        | TO:0000366  |
| Reproductive stage length 3-3        | TO:0000366  |
| Reproductive stage length 3-4        | TO:0000366  |
| Reproductive stage length 4-1        | TO:0000366  |
| Reproductive stage length 4-2        | TO:0000366  |
| Reproductive stage length 4-3        | TO:0000366  |
| Reproductive stage length 4-4        | TO:0000366  |
| Reproductive stage length 4-5        | TO:0000366  |
| Reproductive stage length 4-6        | TO:0000366  |
| Sclero 1-1                           | TO:0000439  |
| Sclero 1-2                           | TO:0000439  |
| Sclero 1-3                           | TO:0000439  |
| Sclero 1-4                           | TO:0000439  |
| Sclero 1-5                           | TO:0000439  |
| Sclero 1-6                           | TO:0000439  |
| Sclero 1-7                           | TO:0000439  |
| Sclero 1-8                           | TO:0000439  |
| Sclero 2-1                           | TO:0000439  |
| Sclero 2-2                           | TO:0000439  |
| Sclero 2-3                           | TO:0000439  |
| Sclero 2-4                           | TO:0000439  |
| Sclero 2-5                           | TO:0000439  |
| Sclero 2-6                           | TO:0000439  |
| Sclero 2-7                           | TO:0000439  |
| Sclero 2-8                           | TO:0000439  |
| Sclero 2-9                           | TO:0000439  |
| Sclero 2-10                          | TO:0000439  |
| Sclero 2-11                          | TO:0000439  |
| Sclero 2-12                          | TO:0000439  |
| Sclero 2-13                          | TO:0000439  |
| Sclero 2-14                          | TO:0000439  |
| Sclero 2-15                          | TO:0000439  |
| Sclero 2-16                          | TO:0000439  |
| Sclero 2-17                          | TO:0000439  |
| Sclero 2-18                          | TO:0000439  |
| Sclero 2-19                          | TO:0000439  |
| Sclero 2-20                          | TO:0000439  |
| Sclero 2-21                          | TO:0000439  |
| Sclero 2-22                          | TO:0000439  |
| Sclero 2-23                          | TO:0000439  |
| Sclero 2-24                          | TO:0000439  |
| Sclero 3-1                           | TO:0000439  |
| Sclero 3-2                           | TO:0000439  |
| Sclero 3-3                           | TO:0000439  |
| Sclero 3-4                           | TO:0000439  |
| Sclero 3-5                           | TO:0000439  |
| Sclero 3-6                           | TO:0000439  |
| Sclero 3-7                           | TO:0000439  |
| Sclero 3-8                           | TO:0000439  |
| Sclero 3-9                           | TO:0000439  |
| Sclero 3-10                          | TO:0000439  |
| Sclero 3-11                          | TO:0000439  |
| Sclero 3-12                          | TO:0000439  |
| Sclero 3-13                          | TO:0000439  |
| Sclero 3-14                          | TO:0000439  |
| Sclero 3-15                          | TO:0000439  |
| Sclero 3-16                          | TO:0000439  |
| Sclero 3-17                          | TO:0000439  |
| Sclero 3-18                          | TO:0000439  |
| Sclero 3-19                          | TO:0000439  |
| Sclero 4-1                           | TO:0000439  |
| Sclero 4-2                           | TO:0000439  |
| Sclero 4-3                           | TO:0000439  |
| Sclero 4-4                           | TO:0000439  |
| Sclero 4-5                           | TO:0000439  |
| Sclero 4-6                           | TO:0000439  |
| Sclero 4-7                           | TO:0000439  |
| Sclero 4-8                           | TO:0000439  |
| Sclero 4-9                           | TO:0000439  |
| Sclero 4-10                          | TO:0000439  |
| Sclero 4-11                          | TO:0000439  |
| Sclero 5-1                           | TO:0000439  |
| Sclero 5-2                           | TO:0000439  |
| Sclero 5-3                           | TO:0000439  |
| Sclero 5-4                           | TO:0000439  |
| Sclero 5-5                           | TO:0000439  |
| Sclero 5-6                           | TO:0000439  |
| Sclero 5-7                           | TO:0000439  |
| Sclero 5-8                           | TO:0000439  |
| Sclero 5-9                           | TO:0000439  |
| Sclero 5-10                          | TO:0000439  |
| Sclero 5-11                          | TO:0000439  |
| Sclero 5-12                          | TO:0000439  |
| Sclero 5-13                          | TO:0000439  |
| Sclero 5-14                          | TO:0000439  |
| Sclero 5-15                          | TO:0000439  |
| Sclero 5-16                          | TO:0000439  |
| Sclero 6-1                           | TO:0000439  |
| Sclero 6-2                           | TO:0000439  |
| Sclero 6-3                           | TO:0000439  |
| Sclero 6-4                           | TO:0000439  |
| Sclero 6-5                           | TO:0000439  |
| Sclero 6-6                           | TO:0000439  |
| Sclero 6-7                           | TO:0000439  |
| Sclero 6-8                           | TO:0000439  |
| Sclero 6-9                           | TO:0000439  |
| Sclero 6-10                          | TO:0000439  |
| Sclero 6-11                          | TO:0000439  |
| Sclero 6-12                          | TO:0000439  |
| Sclero 6-13                          | TO:0000439  |
| SCN 1-1                              | TO:0000384  |
| SCN 1-2                              | TO:0000384  |
| SCN 1-3                              | TO:0000384  |
| SCN 2-1                              | TO:0000384  |
| SCN 2-2                              | TO:0000384  |
| SCN 2-3                              | TO:0000384  |
| SCN 2-4                              | TO:0000384  |
| SCN 3-1                              | TO:0000384  |
| SCN 3-2                              | TO:0000384  |
| SCN 3-3                              | TO:0000384  |
| SCN 4-1                              | TO:0000384  |
| SCN 4-2                              | TO:0000384  |
| SCN 4-3                              | TO:0000384  |
| SCN 4-4                              | TO:0000384  |
| SCN 5-1                              | TO:0000384  |
| SCN 5-2                              | TO:0000384  |
| SCN 5-3                              | TO:0000384  |
| SCN 6-1                              | TO:0000384  |
| SCN 6-2                              | TO:0000384  |
| SCN 7-1                              | TO:0000384  |
| SCN 8-1                              | TO:0000384  |
| SCN 8-2                              | TO:0000384  |
| SCN 8-3                              | TO:0000384  |
| SCN 8-4                              | TO:0000384  |
| SCN 8-5                              | TO:0000384  |
| SCN 9-1                              | TO:0000384  |
| SCN 9-2                              | TO:0000384  |
| SCN 9-3                              | TO:0000384  |
| SCN 9-4                              | TO:0000384  |
| SCN 9-5                              | TO:0000384  |
| SCN 9-6                              | TO:0000384  |
| SCN 10-1                             | TO:0000384  |
| SCN 10-2                             | TO:0000384  |
| SCN 10-3                             | TO:0000384  |
| SCN 10-4                             | TO:0000384  |
| SCN 10-5                             | TO:0000384  |
| SCN 11-1                             | TO:0000384  |
| SCN 11-2                             | TO:0000384  |
| SCN 11-3                             | TO:0000384  |
| SCN 12-1                             | TO:0000384  |
| SCN 12-2                             | TO:0000384  |
| SCN 13-1                             | TO:0000384  |
| SCN 13-2                             | TO:0000384  |
| SCN 14-1                             | TO:0000384  |
| SCN 14-2                             | TO:0000384  |
| SCN 15-1                             | TO:0000384  |
| SCN 16-1                             | TO:0000384  |
| SCN 17-1                             | TO:0000384  |
| SCN 17-2                             | TO:0000384  |
| SCN 17-3                             | TO:0000384  |
| SCN 17-4                             | TO:0000384  |
| SCN 18-1                             | TO:0000384  |
| SCN 18-2                             | TO:0000384  |
| SCN 18-3                             | TO:0000384  |
| SCN 18-4                             | TO:0000384  |
| SCN 18-5                             | TO:0000384  |
| SCN 19-1                             | TO:0000384  |
| SCN 19-2                             | TO:0000384  |
| SCN 19-3                             | TO:0000384  |
| SCN 19-4                             | TO:0000384  |
| SCN 20-1                             | TO:0000384  |
| SCN 20-2                             | TO:0000384  |
| SCN 20-3                             | TO:0000384  |
| SCN 20-4                             | TO:0000384  |
| SCN 21-1                             | TO:0000384  |
| SCN 21-2                             | TO:0000384  |
| SCN 21-3                             | TO:0000384  |
| SCN 22-1                             | TO:0000384  |
| SCN 22-2                             | TO:0000384  |
| SCN 22-3                             | TO:0000384  |
| SCN 23-1                             | TO:0000384  |
| SCN 23-2                             | TO:0000384  |
| SCN 23-3                             | TO:0000384  |
| SCN 24-1                             | TO:0000384  |
| SCN 24-2                             | TO:0000384  |
| SCN 25-1                             | TO:0000384  |
| SCN 25-2                             | TO:0000384  |
| SCN 26-1                             | TO:0000384  |
| SCN 26-2                             | TO:0000384  |
| SCN 26-3                             | TO:0000384  |
| SCN 27-1                             | TO:0000384  |
| SCN 27-2                             | TO:0000384  |
| Seed abortion 1-1                    | TO:0000620  |
| Seed abortion 1-2                    | TO:0000620  |
| Seed abortion 1-3                    | TO:0000620  |
| Seed abortion 1-4                    | TO:0000620  |
| Seed abortion 1-5                    | TO:0000620  |
| Seed abortion 1-6                    | TO:0000620  |
| Seed abortion 1-7                    | TO:0000620  |
| Seed abortion 1-8                    | TO:0000620  |
| Seed abortion 1-9                    | TO:0000620  |
| Seed fill 1-1                        | TO:0000373  |
| Seed fill 2-1                        | TO:0000373  |
| Seed fill 2-2                        | TO:0000373  |
| Seed number 1-1                      | TO:0000445  |
| Seed number 1-2                      | TO:0000445  |
| Seed set 1-1                         | TO:0000373  |
| Seed set 1-2                         | TO:0000373  |
| Seed set 1-3                         | TO:0000373  |
| Seed set 1-4                         | TO:0000373  |
| Seed set 1-5                         | TO:0000373  |
| Seed set 1-6                         | TO:0000373  |
| Seed set 1-7                         | TO:0000373  |
| Seed set 1-8                         | TO:0000373  |
| Seed set 1-9                         | TO:0000373  |
| Seed set 1-10                        | TO:0000373  |
| Seed weight 1-1                      | TO:0000181  |
| Seed weight 1-2                      | TO:0000181  |
| Seed weight 1-3                      | TO:0000181  |
| Seed weight 2-1                      | TO:0000181  |
| Seed weight 2-2                      | TO:0000181  |
| Seed weight 2-3                      | TO:0000181  |
| Seed weight 2-4                      | TO:0000181  |
| Seed weight 2-5                      | TO:0000181  |
| Seed weight 2-6                      | TO:0000181  |
| Seed weight 2-7                      | TO:0000181  |
| Seed weight 3-1                      | TO:0000181  |
| Seed weight 3-2                      | TO:0000181  |
| Seed weight 3-3                      | TO:0000181  |
| Seed weight 3-4                      | TO:0000181  |
| Seed weight 3-5                      | TO:0000181  |
| Seed weight 3-6                      | TO:0000181  |
| Seed weight 3-7                      | TO:0000181  |
| Seed weight 3-8                      | TO:0000181  |
| Seed weight 3-9                      | TO:0000181  |
| Seed weight 4-1                      | TO:0000181  |
| Seed weight 4-2                      | TO:0000181  |
| Seed weight 4-3                      | TO:0000181  |
| Seed weight 4-4                      | TO:0000181  |
| Seed weight 4-5                      | TO:0000181  |
| Seed weight 4-6                      | TO:0000181  |
| Seed weight 5-1                      | TO:0000181  |
| Seed weight 5-2                      | TO:0000181  |
| Seed weight 6-1                      | TO:0000181  |
| Seed weight 6-2                      | TO:0000181  |
| Seed weight 6-3                      | TO:0000181  |
| Seed weight 6-4                      | TO:0000181  |
| Seed weight 6-5                      | TO:0000181  |
| Seed weight 6-6                      | TO:0000181  |
| Seed weight 6-7                      | TO:0000181  |
| Seed weight 7-1                      | TO:0000181  |
| Seed weight 7-2                      | TO:0000181  |
| Seed weight 7-3                      | TO:0000181  |
| Seed weight 7-4                      | TO:0000181  |
| Seed weight 7-5                      | TO:0000181  |
| Seed weight 7-6                      | TO:0000181  |
| Seed weight 7-7                      | TO:0000181  |
| Seed weight 8-1                      | TO:0000181  |
| Seed weight 9-1                      | TO:0000181  |
| Seed weight 10-1                     | TO:0000181  |
| Seed weight 10-2                     | TO:0000181  |
| Seed weight 10-3                     | TO:0000181  |
| Seed weight 10-4                     | TO:0000181  |
| Seed weight 10-5                     | TO:0000181  |
| Seed weight 10-6                     | TO:0000181  |
| Seed weight 10-7                     | TO:0000181  |
| Seed weight 10-8                     | TO:0000181  |
| Seed weight 10-9                     | TO:0000181  |
| Seed weight 10-10                    | TO:0000181  |
| Seed weight 10-11                    | TO:0000181  |
| Seed weight 11-1                     | TO:0000181  |
| Seed weight 11-2                     | TO:0000181  |
| Seed weight 11-3                     | TO:0000181  |
| Seed weight 11-4                     | TO:0000181  |
| Seed weight 12-1                     | TO:0000181  |
| Seed weight 12-2                     | TO:0000181  |
| Seed weight 12-3                     | TO:0000181  |
| Seed weight 12-4                     | TO:0000181  |
| Seed weight 12-5                     | TO:0000181  |
| Seed weight 12-6                     | TO:0000181  |
| Seed weight 12-7                     | TO:0000181  |
| Seed weight 12-8                     | TO:0000181  |
| Seed weight 13-1                     | TO:0000181  |
| Seed weight 13-2                     | TO:0000181  |
| Seed weight 13-3                     | TO:0000181  |
| Seed weight 13-4                     | TO:0000181  |
| Seed weight 13-5                     | TO:0000181  |
| Seed weight 13-6                     | TO:0000181  |
| Seed weight 13-7                     | TO:0000181  |
| Seed weight 13-8                     | TO:0000181  |
| Seed weight 13-9                     | TO:0000181  |
| Seed weight 13-10                    | TO:0000181  |
| Seed weight 13-11                    | TO:0000181  |
| Seed weight 14-1                     | TO:0000181  |
| Seed yield 1-1                       | TO:0000371  |
| Seed yield 1-2                       | TO:0000371  |
| Seed yield 2-1                       | TO:0000371  |
| Seed yield 2-2                       | TO:0000371  |
| Seed yield 3-1                       | TO:0000371  |
| Seed yield 3-2                       | TO:0000371  |
| Seed yield 3-3                       | TO:0000371  |
| Seed yield 4-1                       | TO:0000371  |
| Seed yield 5-1                       | TO:0000371  |
| Seed yield 5-2                       | TO:0000371  |
| Seed yield 5-3                       | TO:0000371  |
| Seed yield 6-1                       | TO:0000371  |
| Seed yield 7-1                       | TO:0000371  |
| Seed yield 8-1                       | TO:0000371  |
| Seed yield 8-2                       | TO:0000371  |
| Seed yield 9-1                       | TO:0000371  |
| Seed yield 10-1                      | TO:0000371  |
| Seed yield 11-1                      | TO:0000371  |
| Seed yield 11-2                      | TO:0000371  |
| Seed yield 11-3                      | TO:0000371  |
| Seed yield 11-4                      | TO:0000371  |
| Seed yield 11-5                      | TO:0000371  |
| Seed yield 11-6                      | TO:0000371  |
| Seed yield 11-7                      | TO:0000371  |
| Seed yield 12-1                      | TO:0000371  |
| Seed yield 12-2                      | TO:0000371  |
| Seed yield 12-3                      | TO:0000371  |
| Seed yield 13-1                      | TO:0000371  |
| Seed yield 13-2                      | TO:0000371  |
| Seed yield 14-1                      | TO:0000371  |
| SDS 1-1                              | TO:0000439  |
| SDS 1-2                              | TO:0000439  |
| SDS 1-3                              | TO:0000439  |
| SDS 1-4                              | TO:0000439  |
| SDS 2-1                              | TO:0000439  |
| SDS 2-2                              | TO:0000439  |
| SDS 2-3                              | TO:0000439  |
| SDS 2-4                              | TO:0000439  |
| SDS 2-5                              | TO:0000439  |
| SDS 2-6                              | TO:0000439  |
| SDS 2-7                              | TO:0000439  |
| SDS 2-8                              | TO:0000439  |
| SDS 3-1                              | TO:0000439  |
| SDS 3-2                              | TO:0000439  |
| SDS 3-3                              | TO:0000439  |
| SDS 3-4                              | TO:0000439  |
| SDS 4-1                              | TO:0000439  |
| SDS 4-2                              | TO:0000439  |
| SDS 4-3                              | TO:0000439  |
| SDS 5-1                              | TO:0000439  |
| SDS 5-2                              | TO:0000439  |
| SDS 6-1                              | TO:0000439  |
| SDS 6-2                              | TO:0000439  |
| SDS 7-1                              | TO:0000439  |
| SDS 7-2                              | TO:0000439  |
| SDS 7-3                              | TO:0000439  |
| SDS 7-4                              | TO:0000439  |
| SDS 7-5                              | TO:0000439  |
| SDS 7-6                              | TO:0000439  |
| SDS 8-1                              | TO:0000439  |
| SDS 8-2                              | TO:0000439  |
| SDS 8-3                              | TO:0000439  |
| SDS 8-4                              | TO:0000439  |
| Leaflet weight, specific 1-1         | TO:0000505  |
| Leaflet weight, specific 1-2         | TO:0000505  |
| Leaflet weight, specific 1-3         | TO:0000505  |
| Leaflet weight, specific 1-4         | TO:0000505  |
| Leaflet weight, specific 1-5         | TO:0000505  |
| Leaflet weight, specific 1-6         | TO:0000505  |
| Sprout yield 1-1                     | TO:0000345  |
| Sprout yield 1-2                     | TO:0000345  |
| Sprout yield 1-3                     | TO:0000345  |
| Sprout yield 1-4                     | TO:0000345  |
| Seed stearic 1-1                     | TO:0000604  |
| Stem diameter, main 1-1              | TO:0000339  |
| Stem diameter, main 1-2              | TO:0000339  |
| Stem diameter, main 1-3              | TO:0000339  |
| Stem length, main 1-1                | TO:0000576  |
| Seed sucrose 1-1                     | TO:0000328  |
| Seed sucrose 1-2                     | TO:0000328  |
| Seed sucrose 1-3                     | TO:0000328  |
| Seed sucrose 1-4                     | TO:0000328  |
| Seed sucrose 1-5                     | TO:0000328  |
| Seed sucrose 1-6                     | TO:0000328  |
| Seed sucrose 1-7                     | TO:0000328  |
| Seed sucrose 1-8                     | TO:0000328  |
| Seed sucrose 1-9                     | TO:0000328  |
| Seed sucrose 1-10                    | TO:0000328  |
| Seed sucrose 1-11                    | TO:0000328  |
| Seed sucrose 1-12                    | TO:0000328  |
| Seed sucrose 1-13                    | TO:0000328  |
| Seed sucrose 1-14                    | TO:0000328  |
| Seed sucrose 1-15                    | TO:0000328  |
| Seed sucrose 1-16                    | TO:0000328  |
| Seed sucrose 1-17                    | TO:0000328  |
| Tobacco ring spot virus 1-1          | TO:0000148  |
| WUE 1-1                              | TO:0001017  |
| WUE 1-2                              | TO:0001017  |
| WUE 1-3                              | TO:0001017  |
| WUE 1-4                              | TO:0001017  |
| WUE 1-5                              | TO:0001017  |
| WUE 1-6                              | TO:0001017  |
| WUE 2-1                              | TO:0001017  |
| WUE 2-2                              | TO:0001017  |
| WUE 2-3                              | TO:0001017  |
| Seed yield to Plant height ratio 1-1 | TO:0000371  |
| Seed yield to Plant height ratio 1-2 | TO:0000371  |
| Seed yield to Plant height ratio 1-3 | TO:0000371  |
| Seed yield to Plant height ratio 2-1 | TO:0000371  |
| Seed yield to Plant height ratio 2-2 | TO:0000371  |
| Seed yield to Plant height ratio 2-3 | TO:0000371  |
| Seed yield to Plant height ratio 2-4 | TO:0000371  |
| Seed yield to Plant height ratio 2-5 | TO:0000371  |
| Seed yield to Plant height ratio 2-6 | TO:0000371  |
| Seed yield to Plant height ratio 3-1 | TO:0000371  |
| Seed yield to Plant height ratio 3-2 | TO:0000371  |
| Seed yield to Plant height ratio 3-3 | TO:0000371  |
| Seed yield to Plant height ratio 3-4 | TO:0000371  |
| Seed yield to Plant height ratio 4-1 | TO:0000371  |
| Seed yield to Plant height ratio 4-2 | TO:0000371  |
| Seed yield to Plant height ratio 4-3 | TO:0000371  |
| Seed yield to weight ratio 1-1       | TO:0000371  |
| Seed yield to weight ratio 2-1       | TO:0000371  |
| Seed yield to weight ratio 2-2       | TO:0000371  |
| Seed yield to weight ratio 2-3       | TO:0000371  |
| Seed yield to weight ratio 3-1       | TO:0000371  |
| Seed yield to weight ratio 3-2       | TO:0000371  |
| Seed yield to weight ratio 3-3       | TO:0000371  |
| Cellwall polysacch composition 1-1   | TO:0000277  |
| Seed glucose 1-1                     | TO:0000300  |
| Necrosis, root Mn induced 1-2        | TO:0000439  |
| Seed protein 19-1                    | TO:0000598  |
| Seed acidic fraction 1-1             | TO:0000710  |
| Seed acidic fraction 1-2             | TO:0000710  |
| Seed acidic fraction 1-3             | TO:0000710  |
| Seed acidic fraction 1-4             | TO:0000710  |
| Seed conglycinin, alpha-prime 1-1    | TO:0000710  |
| Seed arabinose plus galactose 1-1    | TO:0006006  |
| Seed arabinose plus galactose 1-2    | TO:0006006  |
| Seed basic fraction 1-1              | TO:0000710  |
| Seed basic fraction 1-2              | TO:0000710  |
| Seed conglycinin, beta 1-1           | TO:0000710  |
| BSR 5-1                              | TO:0000439  |
| BSR 5-2                              | TO:0000439  |
| BSR 6-1                              | TO:0000439  |
| BSR 6-2                              | TO:0000439  |
| BSR 6-3                              | TO:0000439  |
| BSR 6-4                              | TO:0000439  |
| BSR 6-5                              | TO:0000439  |
| BSR 6-6                              | TO:0000439  |
| BSR 6-7                              | TO:0000439  |
| BSR 6-8                              | TO:0000439  |
| BSR 6-9                              | TO:0000439  |
| BSR 6-10                             | TO:0000439  |
| Common cutworm 1-1                   | TO:0000317  |
| Common cutworm 1-2                   | TO:0000317  |
| Chlorosis, leaflet Mn induced 1-1    | TO:0000058  |
| Chlorosis, leaflet Mn induced 1-2    | TO:0000058  |
| Seed conglycinin 1-1                 | TO:0000710  |
| First flower 20-1                    | TO:0002616  |
| First flower 20-2                    | TO:0002616  |
| First flower 20-3                    | TO:0002616  |
| Seed fucose 1-1                      | TO:0006005  |
| Seed galactose 1-1                   | TO:0006006  |
| Seed glycinin 1-1                    | TO:0000710  |
| Lodging 11-1                         | TO:0000133  |
| Lodging 16-1                         | TO:0000133  |
| Leaflet P 1-1                        | TO:0000607  |
| Leaflet P 1-2                        | TO:0000607  |
| Necrosis, root Mn induced 1-1        | TO:0000439  |
| Necrosis, root Mn induced 1-3        | TO:0000439  |
| Necrosis, root Mn induced 1-4        | TO:0000439  |
| Seed N at R5 1-1                     | TO:0000543  |
| Seed N at R5 1-2                     | TO:0000543  |
| Seed N at R5 1-3                     | TO:0000543  |
| Seed N at R5 1-4                     | TO:0000543  |
| Seed N at R5 1-5                     | TO:0000543  |
| Seed N at R5 1-6                     | TO:0000543  |
| Seed N at R5 1-7                     | TO:0000543  |
| Seed N at R6 1-1                     | TO:0000543  |
| Seed N at R6 1-2                     | TO:0000543  |
| Seed N at R6 1-3                     | TO:0000543  |
| Seed N at R7 1-1                     | TO:0000543  |
| Seed N at R7 1-2                     | TO:0000543  |
| Seed N at R7 1-3                     | TO:0000543  |
| Seed N at R7 1-4                     | TO:0000543  |
| Seed N at R7 1-5                     | TO:0000543  |
| Seed N at R7 1-6                     | TO:0000543  |
| Seed N at R7 1-7                     | TO:0000543  |
| Seed oil 19-1                        | TO:0000602  |
| Seed oil 19-2                        | TO:0000602  |
| Seed oil 19-3                        | TO:0000602  |
| Seed oil 20-1                        | TO:0000602  |
| Seed oil 20-2                        | TO:0000602  |
| Seed oil 20-3                        | TO:0000602  |
| Seed oil 23-1                        | TO:0000602  |
| Seed oil 23-2                        | TO:0000602  |
| Seed oil 23-3                        | TO:0000602  |
| Seed oil 23-4                        | TO:0000602  |
| Seed oil 23-5                        | TO:0000602  |
| Seed oil 23-6                        | TO:0000602  |
| Seed pectin 1-1                      | TO:0000097  |
| Phytoph 2-1                          | TO:0000112  |
| Phytoph 4-1                          | TO:0000112  |
| Phytoph 3-1                          | TO:0000112  |
| Phytoph 2-2                          | TO:0000112  |
| Phytoph 4-2                          | TO:0000112  |
| Phytoph 3-2                          | TO:0000112  |
| Plant height 17-1                    | TO:0000207  |
| Plant height 17-2                    | TO:0000207  |
| Plant height 17-3                    | TO:0000207  |
| Plant height 17-4                    | TO:0000207  |
| Plant height 17-5                    | TO:0000207  |
| Plant height 17-6                    | TO:0000207  |
| Plant height 17-7                    | TO:0000207  |
| Plant height 17-8                    | TO:0000207  |
| Plant height 17-9                    | TO:0000207  |
| Plant height 17-10                   | TO:0000207  |
| Plant height 17-11                   | TO:0000207  |
| Plant height 17-12                   | TO:0000207  |
| Plant height 18-1                    | TO:0000207  |
| Plant height 18-2                    | TO:0000207  |
| Plant height 18-3                    | TO:0000207  |
| Plant height 18-4                    | TO:0000207  |
| Plant height 18-5                    | TO:0000207  |
| Plant height 18-6                    | TO:0000207  |
| Pod maturity 14-1                    | TO:0002633  |
| Pod maturity 14-2                    | TO:0002633  |
| Pod maturity 14-3                    | TO:0002633  |
| Pod maturity 14-4                    | TO:0002633  |
| Seed protein 20-1                    | TO:0000598  |
| Seed protein 21-1                    | TO:0000598  |
| Seed protein 21-2                    | TO:0000598  |
| Seed protein 21-3                    | TO:0000598  |
| Seed protein 21-4                    | TO:0000598  |
| Seed protein 21-5                    | TO:0000598  |
| Seed protein 21-6                    | TO:0000598  |
| Seed protein 21-8                    | TO:0000598  |
| Seed protein 21-9                    | TO:0000598  |
| Seed protein 21-10                   | TO:0000598  |
| Seed protein 21-11                   | TO:0000598  |
| Seed protein 24-1                    | TO:0000598  |
| Seed protein 24-2                    | TO:0000598  |
| Seed protein 24-3                    | TO:0000598  |
| Seed protein 24-4                    | TO:0000598  |
| Pod maturity 16-1                    | TO:0002633  |
| Pod maturity 16-2                    | TO:0002633  |
| Pod maturity 16-3                    | TO:0002633  |
| Pod maturity 16-4                    | TO:0002633  |
| Rhizoc root and hypocot rot 1-1a     | TO:0000439  |
| Rhizoc root and hypocot rot 1-2a     | TO:0000439  |
| Rhizoc root and hypocot rot 1-3a     | TO:0000439  |
| Rhizoc root and hypocot rot 1-1b     | TO:0000439  |
| Rhizoc root and hypocot rot 1-2b     | TO:0000439  |
| Rhizoc root and hypocot rot 1-3b     | TO:0000439  |
| Salt tolerance 1-1                   | TO:0006001  |
| SCN 28-1                             | TO:0000384  |
| SCN 28-2                             | TO:0000384  |
| SCN 28-3                             | TO:0000384  |
| SCN 28-4                             | TO:0000384  |
| SCN 29-1                             | TO:0000384  |
| SCN 29-2                             | TO:0000384  |
| SCN 29-3                             | TO:0000384  |
| SCN 29-4                             | TO:0000384  |
| SCN 29-5                             | TO:0000384  |
| SCN 29-6                             | TO:0000384  |
| SCN 29-7                             | TO:0000384  |
| SCN 29-8                             | TO:0000384  |
| SCN 29-9                             | TO:0000384  |
| SCN 29-10                            | TO:0000384  |
| SCN 30-1                             | TO:0000384  |
| SCN 30-2                             | TO:0000384  |
| SCN 30-3                             | TO:0000384  |
| Seed number 2-1                      | TO:0000445  |
| Seed number 2-2                      | TO:0000445  |
| Seed weight 15-1                     | TO:0000181  |
| Seed weight 15-2                     | TO:0000181  |
| Seed weight 15-3                     | TO:0000181  |
| Seed weight 15-4                     | TO:0000181  |
| Seed weight 15-5                     | TO:0000181  |
| Seed weight 15-6                     | TO:0000181  |
| Seed weight 15-7                     | TO:0000181  |
| Seed weight 16-1                     | TO:0000181  |
| Seed weight 16-2                     | TO:0000181  |
| Seed weight 16-3                     | TO:0000181  |
| Seed weight 17-1                     | TO:0000181  |
| Seed weight 18-1.1                   | TO:0000181  |
| Seed weight 18-1.2                   | TO:0000181  |
| Seed weight 18-2                     | TO:0000181  |
| Seed weight 19-1                     | TO:0000181  |
| Seed weight 19-2                     | TO:0000181  |
| Seed yield 15-1                      | TO:0000371  |
| Seed yield 15-2                      | TO:0000371  |
| Seed yield 15-3                      | TO:0000371  |
| Seed yield 15-4                      | TO:0000371  |
| Seed yield 15-5                      | TO:0000371  |
| Seed yield 15-6                      | TO:0000371  |
| Seed yield 15-7                      | TO:0000371  |
| Seed yield 15-8                      | TO:0000371  |
| Seed yield 15-9                      | TO:0000371  |
| Seed yield 15-10                     | TO:0000371  |
| Seed yield 15-11                     | TO:0000371  |
| Seed yield 15-12                     | TO:0000371  |
| Seed yield 15-13                     | TO:0000371  |
| Seed yield 15-14                     | TO:0000371  |
| Seed yield 15-15                     | TO:0000371  |
| Seed yield 16-1                      | TO:0000371  |
| Seed yield 16-2                      | TO:0000371  |
| Seed yield 16-3                      | TO:0000371  |
| Seed yield 16-4                      | TO:0000371  |
| Seed yield 16-5                      | TO:0000371  |
| Leaflet trigonelline, dry 1-1        | TO:0006001  |
| Leaflet trigonelline, dry 1-2        | TO:0006001  |
| Leaflet trigonelline, fresh 1-1      | TO:0006001  |
| Leaflet trigonelline, fresh 1-2      | TO:0006001  |
| cqSeed oil-001                       | TO:0000602  |
| cqSeed oil-002                       | TO:0000602  |
| cqSeed oil-003                       | TO:0000602  |
| cqSeed protein-001                   | TO:0000598  |
| cqSeed protein-002                   | TO:0000598  |
| cqSeed weight-001                    | TO:0000181  |
| cqSeed weight-002                    | TO:0000181  |
| cqSCN-003                            | TO:0000384  |
| cqSeed oil-004                       | TO:0000602  |
| cqSeed protein-003                   | TO:0000598  |
| cqSeed yield-001                     | TO:000037   |
| cqR8 Full maturity-001               | TO:0000469  |
| cqSeed weight-003                    | TO:0000181  |
| cqSDS-001                            | TO:0000439  |
| cqSCN-001                            | TO:0000384  |
| cqSCN-002                            | TO:0000384  |
| Leaflet shape 6-16                   | TO:0000492  |
| Leaflet shape 6-15                   | TO:0000492  |
| Leaflet shape 6-14                   | TO:0000492  |
| Leaflet shape 6-13                   | TO:0000492  |
| Leaflet shape 6-12                   | TO:0000492  |
| Leaflet shape 6-11                   | TO:0000492  |
