MySQL [soybase]> select QTLName,db_accn FROM qtl_xref_table WHERE db_id='TO';
+--------------------------------------+-------------+
| QTLName                              | db_accn     |
| Seed coat hardness 1-2               | TO:0000162  |
| Seed coat hardness 1-3               | TO:0000162  |
| Seed coat hardness 1-4               | TO:0000162  |
| Seed coat hardness 1-5               | TO:0000162  |
| Seed coat hardness 1-6               | TO:0000162  |
| Seed coat hardness 1-7               | TO:0000162  |
| Plant height to Lodging ratio 1-1    | TO:0000133  |
| Plant height to Lodging ratio 1-2    | TO:0000133  |
| Plant height to Lodging ratio 1-3    | TO:0000133  |
| Plant height to Lodging ratio 2-1    | TO:0000133  |
| Plant height to Lodging ratio 2-2    | TO:0000133  |
| Plant height to Lodging ratio 2-3    | TO:0000133  |
| Plant height to Lodging ratio 2-4    | TO:0000133  |
| Plant height to Lodging ratio 3-1    | TO:0000133  |
| Plant height to Lodging ratio 3-2    | TO:0000133  |
| Plant height to Lodging ratio 4-1    | TO:0000133  |
| Plant height to Lodging ratio 4-2    | TO:0000133  |
| Hypocotyl length 1-1                 | TO:0006065  |
| Hypocotyl length 1-2                 | TO:0006065  |
| Hypocotyl length 1-3                 | TO:0006065  |
| Leaflet ash 1-1                      | TO:0000607  |
| Leaflet ash 1-2                      | TO:0000607  |
| Leaflet ash 1-3                      | TO:0000607  |
| Leaflet ash 1-4                      | TO:0000607  |
| Leaflet ash 1-5                      | TO:0000607  |
| Leaflet ash 1-6                      | TO:0000607  |
| Leaflet ash 1-7                      | TO:0000607  |
| Leaflet ash 1-8                      | TO:0000607  |
| Leaflet ash 1-9                      | TO:0000607  |
| Leaflet ash 1-10                     | TO:0000607  |
| Leaflet ash 1-11                     | TO:0000607  |
| Lodging 1-1                          | TO:0000133  |
| Lodging 2-1                          | TO:0000133  |
| Lodging 3-1                          | TO:0000133  |
| Lodging 3-2                          | TO:0000133  |
| Lodging 3-3                          | TO:0000133  |
| Lodging 3-4                          | TO:0000133  |
| Lodging 4-1                          | TO:0000133  |
| Lodging 4-2                          | TO:0000133  |
| Lodging 4-3                          | TO:0000133  |
| Lodging 5-1                          | TO:0000133  |
| Lodging 5-2                          | TO:0000133  |
| Lodging 5-3                          | TO:0000133  |
| Lodging 5-4                          | TO:0000133  |
| Lodging 5-5                          | TO:0000133  |
| Lodging 5-6                          | TO:0000133  |
| Lodging 5-7                          | TO:0000133  |
| Lodging 5-8                          | TO:0000133  |
| Lodging 5-9                          | TO:0000133  |
| Lodging 5-10                         | TO:0000133  |
| Lodging 5-11                         | TO:0000133  |
| Lodging 5-12                         | TO:0000133  |
| Lodging 5-13                         | TO:0000133  |
| Lodging 5-14                         | TO:0000133  |
| Lodging 5-15                         | TO:0000133  |
| Lodging 6-1                          | TO:0000133  |
| Lodging 6-2                          | TO:0000133  |
| Lodging 7-1                          | TO:0000133  |
| Lodging 8-1                          | TO:0000133  |
| Lodging 8-2                          | TO:0000133  |
| Lodging 8-3                          | TO:0000133  |
| Lodging 8-4                          | TO:0000133  |
| Lodging 9-1                          | TO:0000133  |
| Lodging 9-2                          | TO:0000133  |
| Lodging 9-3                          | TO:0000133  |
| Lodging 9-4                          | TO:0000133  |
| Lodging 9-5                          | TO:0000133  |
| Lodging 10-1                         | TO:0000133  |
| Leaflet area 8-1                     | TO:0000540  |
| Leaflet area 8-2                     | TO:0000540  |
| Leaflet area 7-1                     | TO:0000540  |
| Leaflet area 7-2                     | TO:0000540  |
| Leaflet area 3-1                     | TO:0000540  |
| Leaflet area 3-2                     | TO:0000540  |
| Leaflet area 3-3                     | TO:0000540  |
| Leaflet area 3-4                     | TO:0000540  |
| Leaflet area 4-1                     | TO:0000540  |
