QTLID	QTLName	LocusName
1470	Seed Pro 1-1	Satt437
1471	Seed Pro 1-2	Satt168
1472	Seed Pro 1-3	Satt570
1473	Seed Pro 1-4	Satt143
1474	Seed Ser 1-1	Satt437
1475	Seed Ser 1-2	Satt139
1476	Seed Ser 1-3	Satt102
1477	Seed Ser 1-4	Satt495
1478	Seed Ser 1-5	Satt143
1479	Seed Ser 1-6	Sat567
1480	Seed Tyr 1-1	Satt133
1481	Seed Tyr 1-2	Satt274
1482	Seed Tyr 1-3	Satt185
1483	Seed Tyr 1-4	Satt102
1484	Seed Tyr 1-5	Satt313
1485	Seed Lys 1-1	Satt184
1486	Seed Lys 1-2	Satt185
1487	Seed Lys 1-3	Satt427
1488	Seed Phe 1-1	Satt168
1489	Seed Phe 1-2	Satt274
1490	Seed Phe 1-3	Satt249
1491	Seed Phe 1-4	Satt380
1492	Seed Phe 1-5	Satt102
1493	Seed Phe 1-6	Satt495
1494	Seed Val 1-1	Satt168
1495	Seed Val 1-2	Satt537
1496	Seed Val 1-3	Satt252
1497	Seed Val 1-4	Satt143
1498	Seed Leu 1-1	Satt203
1499	Seed Leu 1-2	Satt274
1500	Seed Leu 1-3	Satt002
1501	Seed Leu 1-4	Satt570
1502	Seed Leu 1-5	Satt076
1503	Seed Leu 1-6	Satt567
1504	Seed Leu 1-7	Satt255
1505	Seed Arg 1-1	Satt274
1506	Seed Cys 1-1	Satt252
1507	Seed Cys 1-2	Satt235
1508	Seed Met 1-1	Satt252
1509	Seed Met 1-2	Satt564
1510	Seed Met 1-3	Satt590
1511	Seed His 1-1	Satt380
1512	Root length, primary 1-1	Sat_128
1512	Root length, primary 1-1	Satt519
1513	Root length, primary 1-2	Satt519
1514	Root length, primary 1-3	Sat_343
1515	Root area 1-1	Sat_128
1515	Root area 1-1	Satt519
1516	Root area 1-2	Sat_343
1517	Root area 1-3	Satt519
1518	Root width, primary 2-1	Sat_348
1518	Root width, primary 2-1	Satt298
1519	Root to Shoot weight ratio 1-1	Satt519
1520	Root weight 1-1	Satt519
1521	Root weight 1-2	Satt458
1522	Root weight 1-3	Satt519
1523	Root P 1-1	Sat458
1524	Root P 1-2	Satt519
1525	Plant P 1-1	Sat_296
1526	Plant P 1-2	Satt519
1527	Shoot P 1-1	Satt458
1528	Shoot P 1-2	Satt519
1529	Shoot P 1-3	Satt423
1530	Plant weight 1-1	Sat_296
1531	Plant weight 1-2	Satt519
1532	Shoot weight 1-1	Satt458
1533	Shoot weight 1-2	Sat_128
1533	Shoot weight 1-2	Satt519
1534	Shoot weight 1-3	Satt519
1535	Seed number 3-1	Satt519
1536	Seed number 3-2	Sat_404
1537	Seed number 3-3	Satt519
1538	Seed number 3-4	Sat_404
1539	Seed weight 20-1	Sat_128
1539	Seed weight 20-1	Satt519
1540	Seed weight 20-2	Sat_404
1541	Seed weight 20-3	Satt519
1542	Seed weight 20-4	Sat_128
1542	Seed weight 20-4	Satt519
1543	Flower number 1-1	BE475343
1543	Flower number 1-1	Satt095
1544	Flower number 1-2	Satt009
1544	Flower number 1-2	Satt080
1545	Flower number 1-3	Sat_207
1546	Flower number 1-4	Satt273
1546	Flower number 1-4	Satt710
1547	Flower number 1-5	Satt197
1547	Flower number 1-5	Satt251
1548	Flower number 1-6	Sat_177
1548	Flower number 1-6	Sat_264
1549	Flower number 1-7	Sat_124
1549	Flower number 1-7	Satt598
1550	Flower number 1-8	Satt303
1550	Flower number 1-8	Satt352
1551	Flower number 1-9	Satt138
1551	Flower number 1-9	Satt564
1552	Flower number 1-10	Dt1
1552	Flower number 1-10	Satt166
1553	Flower number 1-11	Sat_155
1553	Flower number 1-11	Sat_420
1554	Flower number 1-12	Sat_421
1554	Flower number 1-12	Satt330
1555	Pod number 1-1	BE475343
1555	Pod number 1-1	Satt095
1556	Pod number 1-2	Sat_239
1556	Pod number 1-2	Satt234
1557	Pod number 1-3	Sat_368
1557	Pod number 1-3	Satt276
1558	Pod number 1-4	Sat_215
1558	Pod number 1-4	Sat_409
1559	Pod number 1-5	Satt197
1559	Pod number 1-5	Satt251
1560	Pod number 1-6	Sat_381
1560	Pod number 1-6	Satt231
1561	Pod number 1-7	Satt596
1561	Pod number 1-7	Satt622
1562	Pod number 1-8	Satt138
1562	Pod number 1-8	Satt564
1563	Pod number 1-9	Satt373
1563	Pod number 1-9	Satt495
1564	Pod number 1-10	Sat_155
1564	Pod number 1-10	Sat_420
1565	Root morphology 1-1	Satt383
1565	Root morphology 1-1	Satt580
1566	Root morphology 1-2	Sat_091
1566	Root morphology 1-2	Satt339
1567	Root morphology 1-3	Satt713
1567	Root morphology 1-3	Sct_191
1568	Root morphology 1-4	Satt228
1568	Root morphology 1-4	Satt429
1569	Root morphology 1-5	Sat_299
1569	Root morphology 1-5	Sat_420
1570	Phytoph 5-1	Satt520
1570	Phytoph 5-1	Satt557
1571	Phytoph 5-2	Satt598
1571	Phytoph 5-2	Satt651
1572	Phytoph 5-3	Sat_274
1572	Phytoph 5-3	Satt420
1573	pH sensitivity 1-1	Satt447
1574	pH sensitivity 1-2	Satt461
1575	pH sensitivity 1-3	Satt461
1576	pH sensitivity 1-4	Satt447
1577	Phytoph 6-1	Satt325
1577	Phytoph 6-1	Satt343
1578	Phytoph 6-2	Satt005
1578	Phytoph 6-2	Satt600
1579	Phytoph 6-3	Sat_089
1579	Phytoph 6-3	Satt579
1580	Phytoph 6-4	Satt233
1580	Phytoph 6-4	Satt437
1581	Phytoph 6-5	Satt453
1581	Phytoph 6-5	Satt484
1582	Phytoph 6-6	Satt100
1582	Phytoph 6-6	Satt489
1583	Phytoph 6-7	Satt277
1583	Phytoph 6-7	Satt365
1584	Phytoph 6-8	Satt307
1584	Phytoph 6-8	Satt460
1585	Stem strength, main 1-1	Satt207
1586	Stem strength, main 1-2	Sat_181
1587	Stem strength, main 1-3	Sat_083
1588	Stem strength, main 1-4	Satt578
1589	Stem strength, main 1-5	Satt643
1590	Stem strength, main 1-6	Satt079
1591	Stem strength, main 1-7	Satt281
1592	Stem strength, main 1-8	Sat_197
1593	Salt tolerance 3-1	Sat_091
1594	Salt tolerance 3-2	Sat_091
1595	Salt tolerance 3-3	Sat_091
1596	Salt tolerance 3-4	Sat_091
1597	Seed oil 24-1	Sct_067
1598	Seed oil 24-2	Satt358
1599	Seed oil 24-3	Satt271
1599	Seed oil 24-3	Satt274
1600	Seed oil 24-4	Satt252
1600	Seed oil 24-4	Satt269
1601	Seed oil 24-5	Satt009
1601	Seed oil 24-5	Satt530
1602	Seed oil 24-6	Satt270
1603	Seed oil 24-7	Sat_113
1604	Seed oil 24-8	Sat_001
1604	Seed oil 24-8	Sat_114
1605	Seed oil 24-9	Satt278
1605	Seed oil 24-9	Satt398
1606	Seed oil 24-10	Satt468
1607	Seed oil 24-11	Satt197
1607	Seed oil 24-11	Satt251
1608	Seed oil 24-12	Sat_088
1608	Seed oil 24-12	Satt505
1609	Seed oil 24-13	Satt530
1610	Seed oil 24-14	Sat_095
1611	Seed oil 24-15	Bng077_1
1611	Seed oil 24-15	Satt511
1612	Seed oil 24-16	A329_2
1612	Seed oil 24-16	Satt454
1613	Seed oil 24-17	Sat_009
1613	Seed oil 24-17	Sat_083
1614	Seed oil 24-18	A351_2
1614	Seed oil 24-18	Satt690
1615	Seed oil 24-19	Satt203
1615	Seed oil 24-19	Satt254
1616	Seed oil 24-20	Satt198
1616	Seed oil 24-20	Satt439
1617	Seed oil 24-21	Sat_414
1617	Seed oil 24-21	Sat305
1618	Seed oil 24-22	Sat_292
1618	Seed oil 24-22	Satt461
1619	Seed oil 24-23	K229_1
1619	Seed oil 24-23	OP_M12b
1620	Seed oil 24-24	K229_1
1620	Seed oil 24-24	Satt573
1621	Seed oil 24-25	M8E6mr1
1621	Seed oil 24-25	Satt343
1622	Seed oil 24-26	A073_1
1622	Seed oil 24-26	Sat_143
1623	Seed oil 24-27	Satt191
1623	Seed oil 24-27	Sct_199
1624	Seed oil 24-28	A748_2
1624	Seed oil 24-28	Satt142
1625	Seed oil 24-29	A352_2
1625	Seed oil 24-29	B214_2
1626	Seed oil 24-30	Sat_105
1626	Seed oil 24-30	Sat_219
1627	Seed oil 24-31	M7E8mr3
1627	Seed oil 24-31	R
1628	Seed oil 24-32	Satt497
1628	Seed oil 24-32	Satt613
1629	Seed oil 24-33	A489_1
1629	Seed oil 24-33	DUBC015
1630	Seed oil 24-34	Satt022
1630	Seed oil 24-34	Satt257
1631	Reproductive stage length 5-1	Sat_085
1631	Reproductive stage length 5-1	Satt294
1632	Reproductive stage length 5-2	Satt191
1632	Reproductive stage length 5-2	Satt503
1633	Reproductive stage length 5-3	Satt175
1633	Reproductive stage length 5-3	Satt536
1634	Reproductive stage length 5-4	Satt435
1634	Reproductive stage length 5-4	Satt540
1635	Reproductive stage length 5-5	Satt259
1635	Reproductive stage length 5-5	Satt347
1636	Reproductive stage length 5-6	Sat_150
1636	Reproductive stage length 5-6	Satt561
1637	Seed daidzein 3-1	Satt144
1638	Seed daidzein 3-2	Satt587
1639	Seed daidzein 3-3	Satt124
1640	Seed genistein 3-1	Sat_040
1641	Seed genistein 3-2	Satt460
1642	Seed genistein 3-3	Satt144
1643	Seed genistein 3-4	Satt540
1644	Seed glycitein 3-1	Satt330
1645	Seed glycitein 3-2	Satt540
1646	Seed glycitein 3-3	Satt592
1647	Seed isoflavone 2-1	Satt208
1648	Seed isoflavone 2-2	Satt144
1649	Seed isoflavone 2-3	Satt288
1650	Seed isoflavone 2-4	Satt241
1651	Seed isoflavone 2-5	Satt540
1652	First flower 11-1	Satt197
1653	First flower 11-2	A520_1
1654	First flower 11-3	A397_1
1654	First flower 11-3	B131_1
1655	First flower 11-4	Satt586
1656	Pod maturity 17-1	Satt197
1656	Pod maturity 17-1	Satt509
1657	Pod maturity 17-2	A118_1
1657	Pod maturity 17-2	Satt197
1658	Pod maturity 17-3	A118_1
1658	Pod maturity 17-3	A520_1
1659	Pod maturity 17-4	A397_1
1659	Pod maturity 17-4	B131_1
1660	Pod maturity 17-5	Satt586
1661	Pod maturity 17-6	Satt472
1662	Pod maturity 17-7	ZZ
1663	Pod maturity 17-8	ZZ
1664	Pod maturity 17-9	ZZ
1665	Pod maturity 17-10	ZZ
1666	Pod maturity 17-11	ZZ
1667	Pod maturity 17-12	ZZ
1668	Pod maturity 17-13	Satt472
1669	Plant height 20-1	A118_1
1669	Plant height 20-1	Satt197
1670	Plant height 20-2	A520_1
1671	Plant height 20-3	A397_1
1671	Plant height 20-3	A748_1
1672	Plant height 20-4	A397_1
1672	Plant height 20-4	B131_1
1673	Plant height 20-5	Satt586
1674	Plant height 20-6	Satt335
1675	Plant height 20-7	ZZ
1676	Plant height 20-8	ZZ
1677	Plant height 20-9	ZZ
1678	Plant height 20-10	ZZ
1679	Plant height 20-11	ZZ
1680	Plant height 20-12	ZZ
1681	Node number 1-1	A520_1
1682	Node number 1-2	A148_2
1683	Node number 1-3	A397_1
1683	Node number 1-3	A748_1
1684	Node number 1-4	A397_1
1684	Node number 1-4	B131_1
1685	Node number 1-5	gmrubp
1685	Node number 1-5	Satt269
1686	Node number 1-6	Satt586
1687	Node number 1-7	B174_3
1688	Node number 1-8	Satt335
1689	Node number 1-9	ZZ
1690	Node number 1-10	ZZ
1691	Node number 1-11	ZZ
1692	Node number 1-12	ZZ
1693	Node number 1-13	ZZ
1694	Seed weight 21-1	Satt509
1695	Seed weight 21-2	B146_1
1696	Seed weight 21-3	A199_1
1697	Seed yield 18-1	A397_1
1697	Seed yield 18-1	A748_1
1698	Seed yield 18-2	A397_1
1698	Seed yield 18-2	B131_1
1699	Seed yield 18-3	Satt586
1700	Seed yield 18-4	ZZ
1701	Seed yield 18-5	ZZ
1702	Seed yield 18-6	ZZ
1703	Seed yield 18-7	ZZ
1704	Seed yield 18-8	ZZ
1705	Seed yield 18-9	ZZ
1706	Pods per node 1-1	B030_2
1707	Pods per node 1-2	A397_1
1707	Pods per node 1-2	A748_1
1708	Pods per node 1-3	A397_1
1708	Pods per node 1-3	B131_1
1709	Pods per node 1-4	K011_3
1710	Pods per node 1-5	Satt463
1711	Pods per node 1-6	ZZ
1712	Pods per node 1-7	ZZ
1713	Seed protein 25-1	A118_1
1713	Seed protein 25-1	Satt197
1714	Seed protein 25-2	A118_1
1714	Seed protein 25-2	A520_1
1715	Seed protein 25-3	A725_1
1716	Seed oil 25-1	B221_1
1717	Seed oil 25-2	A060_2
1718	Seed oil 25-3	ZZ
1719	Seed oil 25-4	ZZ
1720	First flower 12-1	A397_1
1720	First flower 12-1	B131_1
1721	First flower 12-2	Satt319
1722	First flower 12-3	A374_1
1723	First flower 12-4	ZZ
1724	First flower 12-5	ZZ
1725	First flower 12-6	ZZ
1726	First flower 12-7	ZZ
1727	First flower 12-8	ZZ
1728	Pod maturity 18-1	A118_1
1728	Pod maturity 18-1	Satt597
1729	Pod maturity 18-2	A520_1
1729	Pod maturity 18-2	Sat_128
1730	Pod maturity 18-3	Satt399
1731	Pod maturity 18-4	A060_2
1731	Pod maturity 18-4	Satt150
1732	Pod maturity 18-5	ZZ
1733	Pod maturity 18-6	ZZ
1734	Pod maturity 18-7	ZZ
1735	Pod maturity 18-8	ZZ
1736	Pod maturity 18-9	ZZ
1737	Pod maturity 18-10	ZZ
1738	Pod maturity 18-11	ZZ
1739	Plant height 21-1	A397_1
1739	Plant height 21-1	B131_1
1740	Plant height 21-2	Satt319
1741	Plant height 21-3	Satt150
1742	Plant height 21-4	ZZ
1743	Plant height 21-5	ZZ
1744	Plant height 21-6	ZZ
1745	Plant height 21-7	ZZ
1746	Plant height 21-8	ZZ
1747	Lodging 18-1	A397_1
1747	Lodging 18-1	B131_1
1748	Lodging 18-2	Satt319
1749	Lodging 18-3	Satt114
1750	Lodging 18-4	ZZ
1751	Lodging 18-5	ZZ
1752	Lodging 18-6	ZZ
1753	Lodging 18-7	ZZ
1754	Lodging 18-8	ZZ
1755	Node number 2-1	A397_1
1755	Node number 2-1	B131_1
1756	Node number 2-2	Satt319
1757	Node number 2-3	Satt252
1757	Node number 2-3	Satt269
1758	Node number 2-4	ZZ
1759	Node number 2-5	ZZ
1760	Node number 2-6	ZZ
1761	Node number 2-7	ZZ
1762	Node number 2-8	ZZ
1763	Node number 2-9	ZZ
1764	Node number 2-10	ZZ
1765	Pods per node 2-1	B030_2
1766	Pods per node 2-2	Satt194
1767	Pods per node 2-3	A397_1
1767	Pods per node 2-3	B131_1
1768	Pods per node 2-4	B131_1
1769	Pods per node 2-5	ZZ
1770	Pods per node 2-6	ZZ
1771	Seed weight 22-1	Satt525
1772	Seed weight 22-2	Satt509
1773	Seed weight 22-3	B146_1
1774	Seed weight 22-4	B146_1
1774	Seed weight 22-4	Satt458
1775	Seed yield 19-1	K011_3
1775	Seed yield 19-1	Satt319
1776	Seed yield 19-2	K011_3
1776	Seed yield 19-2	Satt277
1777	Seed yield 19-3	Satt557
1778	Seed yield 19-4	A060_2
1778	Seed yield 19-4	Satt150
1779	Seed yield 19-5	Satt590
1780	Seed yield 19-6	ZZ
1781	Seed yield 19-7	ZZ
1713	Seed protein 25-1	Satt560
1783	Seed oil 26-1	A725_1
1784	Seed yield 20-1	Satt511
1785	Seed yield 20-2	Satt529
1786	Seed weight 23-1	Satt304
1787	Seed weight 23-2	Satt541
1788	Seed fill 3-1	Satt335
1789	Pod maturity 20-1	Satt335
1790	Pod maturity 20-2	Satt584
1791	Lodging 19-1	Satt330
1792	Lodging 19-2	Satt284
1793	Lodging 19-3	Satt549
1794	Plant height 22-1	Satt284
1794	Plant height 22-1	Satt652
1795	First flower 21-1	Satt534
1796	First flower 21-2	Satt270
1797	First flower 21-3	Satt349
1798	First flower 21-4	Satt309
1799	First flower 21-5	ZZ
1810	Plant height 23-1	Satt157
1811	Plant height 23-2	Satt489
1812	Plant height 23-3	Satt309
1813	Plant height 23-4	Satt243
1814	Plant height 23-5	Sat_090
1815	Plant height 23-6	Satt324
1816	Plant height 23-7	ZZ
1817	Plant height 23-8	ZZ
1818	Lodging 20-1	Satt311
1819	Lodging 20-2	Satt324
1820	Lodging 20-3	Sat_123
1821	Lodging 20-4	Satt071
1822	Lodging 20-5	Satt182
1823	Lodging 20-6	Satt243
1824	Lodging 20-7	Satt309
1825	Seed yield 21-1	Satt277
1826	Seed yield 21-2	Satt079
1827	Seed yield 21-3	Satt316
1828	Seed yield 21-4	Satt275
1829	Seed yield 21-5	Satt431
1830	Seed yield 21-6	Satt002
1831	Seed yield 21-7	Satt354
1832	Seed yield 21-8	Satt324
1832	Seed yield 21-8	Satt394
1833	Seed yield 21-9	ZZ
1834	Seed yield 21-10	Satt185
1835	Seed weight 24-1	Satt307
1836	Seed weight 24-2	Satt367
1837	Seed weight 24-3	Satt354
1838	Seed weight 24-4	ZZ
1839	Seed oil 27-1	Satt277
1840	Seed oil 27-2	Satt212
1841	Seed oil 27-3	Satt571
1842	Seed oil 27-4	Satt270
1843	Seed oil 27-5	Satt182
1844	Seed oil 27-6	Satt489
1845	Seed oil 27-7	Satt367
1846	Seed oil 27-8	Satt049
1847	Seed oil 27-9	Satt162
1848	Seed oil 27-10	Satt394
1849	Seed oil 27-11	ZZ
1850	Seed oil 27-12	ZZ
1851	Seed protein 26-1	Satt187
1852	Seed protein 26-2	Satt389
1853	Seed protein 26-3	Satt571
1854	Seed protein 26-4	Satt419
1855	Seed protein 26-5	Satt270
1856	Seed protein 26-6	Sat_123
1857	Seed protein 26-7	Satt277
1858	Seed protein 26-8	Satt394
1859	Seed protein 26-9	Satt162
1860	Seed protein 26-10	Satt063
1861	Seed protein 26-11	Sat_090
1862	Seed protein 26-12	Satt309
1863	Seed protein 26-13	Satt569
1864	Seed protein 26-14	Satt394
1865	Seed palmitic 4-1	Satt489
1866	Seed palmitic 4-2	Satt157
1867	Seed palmitic 4-3	Sat_092
1868	Seed palmitic 4-4	Satt288
1869	Seed palmitic 4-5	Sat_132
1870	Seed palmitic 4-6	Satt070
1871	Seed palmitic 4-7	ZZ
1872	Seed stearic 3-1	Sat_090
1873	Seed stearic 3-2	Satt288
1874	Seed stearic 3-3	Satt590
1875	Seed stearic 3-4	Satt394
1876	Seed oleic 3-1	Satt489
1877	Seed oleic 3-2	Satt163
1878	Seed oleic 3-3	Satt288
1879	Seed oleic 3-4	ZZ
1880	Seed linoleic 3-1	Satt038
1881	Seed linoleic 3-2	Satt349
1882	Seed linoleic 3-3	Satt063
1883	Seed linoleic 3-4	ZZ
1884	Seed linoleic 3-5	ZZ
1885	Seed linolenic 3-1	Satt185
1886	Seed linolenic 3-2	Satt349
1887	Seed linolenic 3-3	Satt063
1888	Seed yield 22-1	Satt197
1888	Seed yield 22-1	Satt251
1889	Seed yield 22-2	Sat_312
1890	Seed yield 22-3	Satt546
1890	Seed yield 22-3	Satt611
1891	Seed yield 22-4	Satt142
1891	Seed yield 22-4	Satt317
1892	Seed yield 22-5	Sat_419
1893	Seed yield 22-6	Sat_043
1893	Seed yield 22-6	Sat_044
1894	Seed yield 22-7	Sat_043
1894	Seed yield 22-7	Sat_044
1895	Seed yield 22-8	Sat_330
1896	Seed yield 22-9	Sat_245
1896	Seed yield 22-9	Satt373
1897	Seed yield 22-10	Sat_267
1897	Seed yield 22-10	Satt385
1898	Seed yield 22-11	Satt319
1898	Seed yield 22-11	Satt658
1899	Seed yield 22-12	Satt286
1899	Seed yield 22-12	Satt365
1900	Seed yield 22-13	Sat_312
1900	Seed yield 22-13	Satt134
1901	Seed yield 22-14	Sat_312
1901	Seed yield 22-14	Satt134
1902	Seed yield 22-15	Sat_148
1902	Seed yield 22-15	Satt245
1903	Seed yield 22-16	Sat_148
1903	Seed yield 22-16	Sat_258
1904	Seed yield 22-17	Sat_223
1904	Seed yield 22-17	Satt288
1905	Seed yield 22-18	Sat_164
1905	Seed yield 22-18	Satt288
1906	Seed yield 22-19	Sat_132
1906	Seed yield 22-19	Sat_196
1907	Drought index 1-1	Sat_343
1907	Drought index 1-1	Sat_345
1908	Drought index 1-2	Sat_312
1908	Drought index 1-2	Satt134
1909	Drought index 1-3	Satt142
1909	Drought index 1-3	Satt302
1910	Drought index 1-4	Sat_418
1910	Drought index 1-4	Satt650
1911	Drought index 1-5	Satt249
1911	Drought index 1-5	Satt287
1912	Drought index 1-6	Satt210
1912	Drought index 1-6	Satt336
1913	Drought index 1-7	Sat_171
1913	Drought index 1-7	Satt385
1914	Drought index 1-8	Sat_356
1914	Drought index 1-8	Satt648
1915	Drought index 1-9	Satt154
1915	Drought index 1-9	Satt458
1916	Drought index 1-10	Sat_292
1916	Drought index 1-10	Satt669
1917	Seed oil 28-1	Satt556
1918	Seed oil 28-2	Satt257
1919	Seed oil 28-3	Satt022
1920	Seed oil 28-4	ZZ
1921	Seed protein 27-1	Sat_135
1921	Seed protein 27-1	Satt537
1922	Seed protein 27-2	Satt151
1922	Seed protein 27-2	Satt263
1923	Seed protein 27-3	Satt117
1923	Seed protein 27-3	Satt151
1924	Seed protein 27-4	Satt257
1925	Seed protein 27-5	Satt173
1925	Seed protein 27-5	Satt581
1926	Seed oil plus protein 1-1	Satt327
1927	Seed oil plus protein 1-2	Satt134
1927	Seed oil plus protein 1-2	Satt202
1928	Seed oil plus protein 1-3	Satt277
1928	Seed oil plus protein 1-3	Satt289
1929	Seed oil plus protein 1-4	Satt151
1929	Seed oil plus protein 1-4	Satt263
1930	Seed oil plus protein 1-5	Satt117
1930	Seed oil plus protein 1-5	Satt452
1931	Pod number 2-1	Satt460
1932	Pod number 2-2	Satt173
1932	Pod number 2-2	Satt581
1933	Pod number 2-3	ZZ
1934	Pod number 2-4	ZZ
1935	Seed weight per plant 1-1	Satt300
1936	Seed weight per plant 1-2	Satt276
1937	Seed weight per plant 1-3	Sat_042
1937	Seed weight per plant 1-3	Satt195
1938	Seed weight per plant 1-4	Sat_091
1939	Seed weight per plant 1-5	ZZ
1940	Seed weight per plant 1-6	ZZ
1941	Seed weight per plant 1-7	ZZ
1942	Seed weight 25-1	Satt276
1943	Seed weight 25-2	Satt197
1943	Seed weight 25-2	Satt509
1944	Seed weight 25-3	Sat_091
1945	Seed weight 25-4	Satt173
1945	Seed weight 25-4	Satt331
1946	Seed weight 25-5	ZZ
1947	Seed weight 25-6	ZZ
1948	Seed weight 25-7	ZZ
1949	Seed weight 25-8	ZZ
1950	Plant height 24-1	Satt545
1951	Plant height 24-2	Satt545
1952	Plant height 24-3	Satt276
1953	Plant height 24-4	Satt426
1953	Plant height 24-4	Satt509
1954	Plant height 24-5	Satt197
1954	Plant height 24-5	Satt509
1955	Plant height 24-6	Satt197
1955	Plant height 24-6	Satt251
1956	Plant height 24-7	Satt342
1956	Plant height 24-7	Satt502
1957	Plant height 24-8	Satt151
1957	Plant height 24-8	Satt263
1958	Pod maturity 21-1	Satt134
1958	Pod maturity 21-1	Satt202
1959	Pod maturity 21-2	ZZ
1960	Pod maturity 21-3	ZZ
1961	Pod maturity 21-4	ZZ
1962	Branching 1-1	Satt426
1963	Branching 1-2	Satt426
1963	Branching 1-2	Satt509
1964	Branching 1-3	Satt197
1964	Branching 1-3	Satt509
1965	Branching 1-4	Satt460
1966	Branching 1-5	Satt151
1966	Branching 1-5	Satt263
1967	Branching 1-6	ZZ
1968	Branching 1-7	ZZ
1969	Node number 3-1	Satt545
1970	Node number 3-2	Satt545
1971	Node number 3-3	Satt426
1972	Node number 3-4	Satt426
1972	Node number 3-4	Satt509
1973	Node number 3-5	Satt197
1973	Node number 3-5	Satt509
1974	Node number 3-6	Satt197
1974	Node number 3-6	Satt251
1975	Node number 3-7	Satt342
1975	Node number 3-7	Satt502
1976	Leaflet length 10-1	Satt200
1977	Leaflet length 10-2	Satt200
1978	Leaflet length 10-3	Satt556
1979	Leaflet length 10-4	Satt168
1979	Leaflet length 10-4	Satt272
1980	Leaflet length 10-5	ZZ
1981	Leaflet length 10-6	ZZ
1982	Leaflet width 10-1	Satt545
1983	Leaflet width 10-2	Satt200
1984	Leaflet width 10-3	Satt200
1985	Seed yield 23-1	Satt046
1986	Seed yield 23-2	Satt215
1987	Seed yield 23-3	Satt547
1988	Seed yield 23-4	Satt399
1989	Seed yield 23-5	Satt557
1990	Seed yield 23-6	Satt405
1991	Seed yield 23-7	Satt313
1992	Seed yield 23-8	Satt477
1993	Seed yield 23-9	Satt300
1994	Seed yield 23-10	Satt474
1995	Seed yield 23-11	Satt556
1996	Seed yield 23-12	Satt640
1997	Seed yield 23-13	Satt414
1998	Seed yield 23-14	Satt622
1999	Seed yield 23-15	Satt445
2000	Lodging 21-1	Satt191
2001	Lodging 21-2	Satt534
2002	Lodging 21-3	Satt485
2003	Lodging 21-4	Satt126
2004	Lodging 21-5	Satt257
2005	Pod maturity 19-1	Satt634
2006	Pod maturity 19-2	Satt186
2007	Pod maturity 19-3	Satt675
2008	Pod maturity 19-4	Satt556
2009	Pod maturity 19-5	Satt557
2010	Pod maturity 19-6	Satt405
2011	Pod maturity 19-7	Satt477
2012	Pod maturity 19-8	Satt191
2013	Plant height 25-1	Satt191
2014	Plant height 25-2	Satt547
2015	Plant height 25-3	Satt175
2016	Plant height 25-4	Satt557
2017	Plant height 25-5	Satt191
2018	Plant height 25-6	Satt323
2019	Seed oligosaccharide 1-1	Satt546
2020	Seed oligosaccharide 1-2	Satt523
2021	Seed oligosaccharide 1-3	Satt278
2022	Seed oligosaccharide 1-4	Satt418
2023	Seed oligosaccharide 1-5	Satt398
2024	Seed oligosaccharide 1-6	Satt462
2025	Seed oligosaccharide 1-7	Satt497
2026	Seed oligosaccharide 1-8	Satt313
2027	Seed sucrose 2-1	Satt197
2028	Seed sucrose 2-2	Satt546
2029	Seed sucrose 2-3	Satt523
2030	Seed sucrose 2-4	Satt278
2031	Seed sucrose 2-5	Satt418
2032	Seed sucrose 2-6	Satt398
2033	Seed sucrose 2-7	Satt462
2034	Seed sucrose 2-8	Satt497
2035	Seed sucrose 2-9	Satt313
2036	Seed sucrose 2-10	Sct_010
2037	Seed sucrose 2-11	Satt076
2038	Seed hardness 1-1	Satt229
2039	Seed hardness 1-2	Satt184
2039	Seed hardness 1-2	Satt531
2040	Phytoph 7-1	Satt414
2040	Phytoph 7-1	Satt596
2041	Pod dehiscence 2-1	Sat_093
2041	Pod dehiscence 2-1	Sat_366
2042	SDS 9-1	Sat_099
2043	SDS 9-2	Satt006
2044	SDS 9-3	A063_1
2045	Flood tolerance 3-1	Satt385
2046	Flood tolerance 3-2	Satt252
2047	First flower 13-1	Satt187
2048	First flower 13-2	Sat_135
2049	First flower 13-3	Satt141
2050	First flower 13-4	Satt189
2051	First flower 13-5	Satt350
2052	First flower 13-6	Satt412
2053	First flower 13-7	Satt132
2054	First flower 13-8	Satt431
2055	First flower 13-9	Satt229
2056	First flower 13-10	Satt262
2057	Seed cadmium 1-1	Sat_119
2057	Seed cadmium 1-1	Satt178
2057	Seed cadmium 1-1	Cda1
2175	Seed width 1-4	Satt291
2175	Seed width 1-4	A426_1
2061	Fe effic 13-1	Satt211
2074	Flood tolerance 4-11	Satt153
2074	Flood tolerance 4-11	Satt581
2177	Seed width 1-6	L072_1
2177	Seed width 1-6	A401_2
2246	Internode length 1-4	Satt424
2190	Seed height 1-6	Satt291
2190	Seed height 1-6	A426_1
2178	Seed width 1-7	G173_1
2178	Seed width 1-7	Dt1
2149	Seed length 1-5	Satt277
2149	Seed length 1-5	Satt489
2077	Flood tolerance 4-14	Ngm 93
2077	Flood tolerance 4-14	Satt658
2241	Hypocotyl length 2-1	Satt160
2219	Plant height 26-9	Satt537
2219	Plant height 26-9	Satt428
2239	First flower 16-3	AB002807
2125	First flower 15-2	Sct_010
2269	Phytoph 8-3	Satt688
2161	Seed volume 1-1	Sat_112
2161	Seed volume 1-1	G214_10
