QTLID	QTLName	LocusName
117	First flower 5-1	Satt489
118	First flower 5-2	A489_1
119	First flower 5-3	Satt373
120	First flower 6-1	Satt567
121	First flower 6-2	Sat_003
122	First flower 6-3	G173_1
123	First flower 7-1	Ngm 93
124	First flower 7-2	GM115
125	First flower 7-3	GM120a
126	First flower 8-1	AG36
127	First flower 8-2	138GA26
128	First flower 8-3	Satt373
129	First flower 8-4	GM021
130	First flower 9-1	P029_1
130	First flower 9-1	Satt205
131	First flower 9-2	A112_1
131	First flower 9-2	A378_1
132	First flower 9-3	RGA2a
132	First flower 9-3	Satt380
133	First flower 10-1	P029_1
133	First flower 10-1	Satt205
134	First flower 10-2	A073_1
134	First flower 10-2	K443_1
135	Flood tolerance 1-1	Sat_064
136	Flood tolerance 2-1	Sat_064
137	Seed coat hardness 1-1	I
138	Seed coat hardness 1-2	T153_1
139	Seed coat hardness 1-3	G173_1
140	Seed coat hardness 1-4	K411_1
141	Seed coat hardness 1-5	K418_1
142	Seed coat hardness 1-6	A111_1
143	Seed coat hardness 1-7	R022_1
144	Plant height to Lodging ratio 1-1	R079_1
145	Plant height to Lodging ratio 1-2	L050_7
146	Plant height to Lodging ratio 1-3	K644_1
147	Plant height to Lodging ratio 2-1	Satt150
148	Plant height to Lodging ratio 2-2	Sat_103
149	Plant height to Lodging ratio 2-3	K644_1
150	Plant height to Lodging ratio 2-4	Sat_113
151	Plant height to Lodging ratio 3-1	Satt324
152	Plant height to Lodging ratio 3-2	Satt006
153	Plant height to Lodging ratio 4-1	R079_1
154	Plant height to Lodging ratio 4-2	R045_1
155	Hypocotyl length 1-1	K011_2
156	Hypocotyl length 1-2	W1
157	Hypocotyl length 1-3	A757_3
158	Leaflet ash 1-1	A112_1
159	Leaflet ash 1-2	A458_2
160	Leaflet ash 1-3	K375_1
161	Leaflet ash 1-4	EV2_1
162	Leaflet ash 1-5	K258_2
163	Leaflet ash 1-6	cr107_1
164	Leaflet ash 1-7	cr509_1
165	Leaflet ash 1-8	A638_2
166	Leaflet ash 1-9	K443_1
167	Leaflet ash 1-10	B031_2
168	Leaflet ash 1-11	EV1_2
169	Lodging 1-1	A385_1
169	Lodging 1-1	G173_1
170	Lodging 2-1	A397_1
171	Lodging 3-1	Satt006
172	Lodging 3-2	A109_2
173	Lodging 3-3	BLT007_1
174	Lodging 3-4	A060_1
175	Lodging 4-1	cr517_1
176	Lodging 4-2	Dt1
177	Lodging 4-3	Dt1
177	Lodging 4-3	K385_1
