#Genetic Marker	Linkage Group	Position
BARCSOYSSR_05_0723	GmComposite2003_A1	31.13
Satt591	GmComposite2003_A1	31.13
AZ536570	GmComposite2003_A1	31.38
BARCSOYSSR_05_0721	GmComposite2003_A1	31.38
K258_1	GmComposite2003_A1	31.96
BARCSOYSSR_05_0759	GmComposite2003_A1	32.68
Satt155	GmComposite2003_A1	32.68
A407_2	GmComposite2003_A1	33.05
Sat_265	GmComposite2003_A1	33.27
BARCSOYSSR_05_0747	GmComposite2003_A1	33.27
Satt073	GmComposite2003_A1	33.97
A110_2	GmComposite2003_A1	34.23
A053_2	GmComposite2003_A1	34.55
L194_1	GmComposite2003_A1	34.64
Bng116_1	GmComposite2003_A1	34.90
G214_1	GmComposite2003_A1	35.59
Bng132_1	GmComposite2003_A1	38.14
PHYA_2	GmComposite2003_A1	41.00
A064_3	GmComposite2003_A1	42.08
R183_1	GmComposite2003_A1	42.41
Sat_356	GmComposite2003_A1	42.79
A510_1	GmComposite2003_A1	43.70
BARC-053443-11853	GmComposite2003_A1	46.12
Satt050	GmComposite2003_A1	46.45
B030_2	GmComposite2003_A1	49.29
A096_1	GmComposite2003_A1	51.79
BARCSOYSSR_05_0992	GmComposite2003_A1	51.95
Satt717	GmComposite2003_A1	51.95
BARC-049091-10809	GmComposite2003_A1	52.17
Sat_407	GmComposite2003_A1	52.32
BARCSOYSSR_05_0991	GmComposite2003_A1	52.32
K400_1	GmComposite2003_A1	53.36
A262_1	GmComposite2003_A1	53.39
T153_3	GmComposite2003_A1	56.18
BARC-042853-08438	GmComposite2003_A1	57.00
BARCSOYSSR_05_1078	GmComposite2003_A1	57.24
SOYNOD26A	GmComposite2003_A1	57.24
Sat_171	GmComposite2003_A1	57.79
BARCSOYSSR_05_1022	GmComposite2003_A1	57.79
BARCSOYSSR_05_1021	GmComposite2003_A1	59.18
Satt648	GmComposite2003_A1	59.18
B172_1	GmComposite2003_A1	60.09
SSR3960_1	GmComposite2003_A1	61.90
BLT053_5	GmComposite2003_A1	62.17
BARC-026129-05274	GmComposite2003_A1	62.78
SSR05-1067	GmComposite2003_A1	63.49
Satt385	GmComposite2003_A1	64.73
BARCSOYSSR_05_1084	GmComposite2003_A1	64.73
BARC-059081-15595	GmComposite2003_A1	65.01
BARC-059049-15585	GmComposite2003_A1	65.04
SYNOD26A	GmComposite2003_A1	66.80
BLT053_2	GmComposite2003_A1	67.96
BARCSOYSSR_05_1115	GmComposite2003_A1	69.20
Satt619	GmComposite2003_A1	69.20
Satt545	GmComposite2003_A1	71.38
BARCSOYSSR_05_1134	GmComposite2003_A1	71.38
BARC-050849-09931	GmComposite2003_A1	74.89
A975_1	GmComposite2003_A1	75.41
ss245747167	GmComposite2003_A1	77.09
BARCSOYSSR_05_1191	GmComposite2003_A1	78.44
Sat_267	GmComposite2003_A1	78.44
A487_1	GmComposite2003_A1	8.82
A256_2	GmComposite2003_A1	80.54
K636_2	GmComposite2003_A1	81.52
ss245786667	GmComposite2003_A1	85.57
Satt599	GmComposite2003_A1	85.58
BARCSOYSSR_05_1415	GmComposite2003_A1	85.58
BARCSOYSSR_05_1397	GmComposite2003_A1	88.58
Satt174	GmComposite2003_A1	88.58
Bng077_1	GmComposite2003_A1	91.24
A104_1	GmComposite2003_A1	92.30
A170_1	GmComposite2003_A1	92.56
Satt200	GmComposite2003_A1	92.88
BARCSOYSSR_05_1365	GmComposite2003_A1	92.88
BARCSOYSSR_05_1352	GmComposite2003_A1	93.23
Satt236	GmComposite2003_A1	93.23
T155_1	GmComposite2003_A1	93.59
BARC-060051-16321	GmComposite2003_A1	93.90
Satt511	GmComposite2003_A1	94.19
B170_1	GmComposite2003_A1	94.92
GM254	GmComposite2003_A1	95.16
Satt225	GmComposite2003_A1	95.16
BARCSOYSSR_05_1330	GmComposite2003_A1	95.16
BARCSOYSSR_05_1333	GmComposite2003_A1	95.54
Satt258	GmComposite2003_A1	95.54
Sat_374	GmComposite2003_A1	95.68
BARCSOYSSR_05_1317	GmComposite2003_A1	95.68
BARCSOYSSR_05_1321	GmComposite2003_A1	95.95
Satt211	GmComposite2003_A1	95.95
ss245763524	GmComposite2003_A1	96.47
BARC-041257-07953	GmComposite2003_A1	96.73
SSR0143_1	GmComposite2003_A1	97.20
ss245763185	GmComposite2003_A1	97.52
BARC-029787-06340	GmComposite2003_A1	97.58
Sat_271	GmComposite2003_A1	97.76
BARCSOYSSR_05_1260	GmComposite2003_A1	97.76
BARCSOYSSR_08_0014	GmComposite2003_A2	0.00
Sat_383	GmComposite2003_A2	0.00
A170_2	GmComposite2003_A2	10.75
Satt233	GmComposite2003_A2	100.08
BARCSOYSSR_08_0960	GmComposite2003_A2	100.08
SSR0230_1	GmComposite2003_A2	103.00
G214_2	GmComposite2003_A2	103.47
A117_1	GmComposite2003_A2	104.30
BARCSOYSSR_08_1045	GmComposite2003_A2	105.18
Sat_250	GmComposite2003_A2	105.18
Sat_392	GmComposite2003_A2	106.29
BARCSOYSSR_08_1032	GmComposite2003_A2	106.29
Satt437	GmComposite2003_A2	107.05
A096_2	GmComposite2003_A2	107.36
BARCSOYSSR_08_1164	GmComposite2003_A2	108.77
Satt508	GmComposite2003_A2	108.77
Satt327	GmComposite2003_A2	109.83
BARCSOYSSR_08_1127	GmComposite2003_A2	109.83
BARCSOYSSR_08_1142	GmComposite2003_A2	110.94
Satt329	GmComposite2003_A2	110.94
Sat_310	GmComposite2003_A2	111.45
BARCSOYSSR_08_1162	GmComposite2003_A2	111.45
R028_1	GmComposite2003_A2	111.94
B132_1	GmComposite2003_A2	112.30
BARCSOYSSR_08_1216	GmComposite2003_A2	112.87
Sat_232	GmComposite2003_A2	112.87
SSR3929_1	GmComposite2003_A2	113.00
ss107930810	GmComposite2003_A2	113.37
A690_1	GmComposite2003_A2	113.45
Sct_194	GmComposite2003_A2	113.57
K417_1	GmComposite2003_A2	114.25
Satt158	GmComposite2003_A2	115.25
BARCSOYSSR_08_1226	GmComposite2003_A2	115.25
BARCSOYSSR_08_1321	GmComposite2003_A2	115.93
Satt421	GmComposite2003_A2	115.93
SSR2915_1	GmComposite2003_A2	116.00
Sat_382	GmComposite2003_A2	116.41
BARCSOYSSR_08_1246	GmComposite2003_A2	116.41
BARCSOYSSR_08_1245	GmComposite2003_A2	116.62
BARCSOYSSR_08_1240	GmComposite2003_A2	116.62
Sat_378	GmComposite2003_A2	116.62
Satt707	GmComposite2003_A2	116.62
Sat_377	GmComposite2003_A2	116.63
BARCSOYSSR_08_1244	GmComposite2003_A2	116.63
BARCSOYSSR_08_1361	GmComposite2003_A2	116.73
Satt470	GmComposite2003_A2	116.73
BARC-014837-01682	GmComposite2003_A2	116.88
SSR0116_1	GmComposite2003_A2	117.00
SSR2270_1	GmComposite2003_A2	117.00
K472_3	GmComposite2003_A2	117.40
BARC-055945-13878	GmComposite2003_A2	117.70
mO103_1	GmComposite2003_A2	118.49
Sat_040	GmComposite2003_A2	118.63
BARCSOYSSR_08_1480	GmComposite2003_A2	118.63
K443_2	GmComposite2003_A2	119.09
BARCSOYSSR_08_1494	GmComposite2003_A2	119.58
Satt333	GmComposite2003_A2	119.58
SSR0158_1	GmComposite2003_A2	121.00
p28_10	GmComposite2003_A2	121.00
p28_8	GmComposite2003_A2	121.00
p28_9	GmComposite2003_A2	121.00
SSR2809_1	GmComposite2003_A2	122.00
Sat_097	GmComposite2003_A2	122.05
BARCSOYSSR_08_1502	GmComposite2003_A2	122.05
SSR0224_1	GmComposite2003_A2	123.00
BARCSOYSSR_08_1557	GmComposite2003_A2	123.26
Sat_138	GmComposite2003_A2	123.26
ss107927037	GmComposite2003_A2	124.50
Satt133	GmComposite2003_A2	125.37
BARCSOYSSR_08_1530	GmComposite2003_A2	125.37
Rps8	GmComposite2003_A2	126.10
Lf1	GmComposite2003_A2	126.72
Satt209	GmComposite2003_A2	128.44
BARCSOYSSR_08_1637	GmComposite2003_A2	129.86
Satt455	GmComposite2003_A2	129.86
BLT053_1	GmComposite2003_A2	131.19
mQ039_1	GmComposite2003_A2	131.60
Sat_294	GmComposite2003_A2	131.97
BARCSOYSSR_08_1679	GmComposite2003_A2	131.97
A505_1	GmComposite2003_A2	132.31
A065_1	GmComposite2003_A2	133.05
OPAV06a	GmComposite2003_A2	135.22
Pgd2	GmComposite2003_A2	137.00
Bng181_1	GmComposite2003_A2	14.40
K636_1	GmComposite2003_A2	14.40
Sct_067	GmComposite2003_A2	14.99
T036_1	GmComposite2003_A2	141.08
Lap1	GmComposite2003_A2	143.00
BLT036_1	GmComposite2003_A2	143.97
Bng225_1	GmComposite2003_A2	144.00
Satt409	GmComposite2003_A2	145.57
K644_6	GmComposite2003_A2	148.13
A572_1	GmComposite2003_A2	148.55
Bng205_1	GmComposite2003_A2	149.10
A256_1	GmComposite2003_A2	15.05
Ti	GmComposite2003_A2	150.00
Bng029_1	GmComposite2003_A2	151.15
BARCSOYSSR_08_1811	GmComposite2003_A2	154.11
Satt228	GmComposite2003_A2	154.11
L144_1	GmComposite2003_A2	155.32
Ap	GmComposite2003_A2	157.28
Sat_347	GmComposite2003_A2	158.38
BARCSOYSSR_08_1873	GmComposite2003_A2	158.38
BARCSOYSSR_08_1890	GmComposite2003_A2	159.63
Satt538	GmComposite2003_A2	159.63
Satt429	GmComposite2003_A2	162.02
BARCSOYSSR_08_1876	GmComposite2003_A2	162.02
BARCSOYSSR_08_1910	GmComposite2003_A2	165.72
Satt378	GmComposite2003_A2	165.72
ss107919498	GmComposite2003_A2	17.57
Bng077_2	GmComposite2003_A2	18.55
Sat_406	GmComposite2003_A2	25.90
BARCSOYSSR_08_0204	GmComposite2003_A2	25.90
BARCSOYSSR_08_0206	GmComposite2003_A2	26.50
Satt207	GmComposite2003_A2	26.50
BARC-065591-19578	GmComposite2003_A2	26.56
ss107930668	GmComposite2003_A2	26.56
Sat_319	GmComposite2003_A2	27.90
BARCSOYSSR_08_0247	GmComposite2003_A2	27.90
BARCSOYSSR_08_0216	GmComposite2003_A2	28.44
Satt480	GmComposite2003_A2	28.44
A085_1	GmComposite2003_A2	32.22
Satt589	GmComposite2003_A2	33.95
BARCSOYSSR_08_0273	GmComposite2003_A2	33.95
BARCSOYSSR_08_0262	GmComposite2003_A2	35.02
Satt493	GmComposite2003_A2	35.02
BARC-045199-08906	GmComposite2003_A2	35.60
Sat_409	GmComposite2003_A2	35.68
BARCSOYSSR_08_0305	GmComposite2003_A2	35.68
BARCSOYSSR_08_0270	GmComposite2003_A2	35.93
BE820148	GmComposite2003_A2	35.93
Satt177	GmComposite2003_A2	36.77
Sat_181	GmComposite2003_A2	38.06
BARCSOYSSR_08_0310	GmComposite2003_A2	38.06
A110_1	GmComposite2003_A2	38.41
BARCSOYSSR_08_0371	GmComposite2003_A2	45.29
Satt315	GmComposite2003_A2	45.29
K400_2	GmComposite2003_A2	45.60
Rhg4	GmComposite2003_A2	48.00
E(CCG)M(AAC)405	GmComposite2003_A2	48.60
I	GmComposite2003_A2	48.84
Sat_400	GmComposite2003_A2	49.38
BARCSOYSSR_08_0441	GmComposite2003_A2	49.38
L199_1	GmComposite2003_A2	49.94
Lectin	GmComposite2003_A2	50.00
A262_2	GmComposite2003_A2	50.08
T153_1	GmComposite2003_A2	50.42
E(CCC)M(ATG)164	GmComposite2003_A2	50.48
E(CCG)M(AAC)397	GmComposite2003_A2	50.48
B172_2	GmComposite2003_A2	51.08
BARC-050171-09440	GmComposite2003_A2	51.30
BARCSOYSSR_08_0454	GmComposite2003_A2	51.50
Satt632	GmComposite2003_A2	51.50
Sat_157	GmComposite2003_A2	51.57
BARCSOYSSR_08_0460	GmComposite2003_A2	51.57
BARCSOYSSR_08_0458	GmComposite2003_A2	51.86
Sat_162	GmComposite2003_A2	51.86
BLT024_1	GmComposite2003_A2	52.49
GMENOD2B	GmComposite2003_A2	52.57
BARCSOYSSR_08_0556	GmComposite2003_A2	52.57
E(CCA)M(AGC)114e	GmComposite2003_A2	52.96
T155_2	GmComposite2003_A2	53.10
A486_1	GmComposite2003_A2	53.16
BARCSOYSSR_08_0506	GmComposite2003_A2	53.75
Sat_215	GmComposite2003_A2	53.75
BARC-040339-07715	GmComposite2003_A2	53.91
BARC-010097-00518	GmComposite2003_A2	53.99
BLT065_1	GmComposite2003_A2	54.20
Satt187	GmComposite2003_A2	54.91
BARCSOYSSR_08_0503	GmComposite2003_A2	54.91
BARCSOYSSR_08_0499	GmComposite2003_A2	56.32
Sat_212	GmComposite2003_A2	56.32
A510_4	GmComposite2003_A2	56.52
S07a	GmComposite2003_A2	57.90
O	GmComposite2003_A2	58.40
Satt424	GmComposite2003_A2	60.59
BARCSOYSSR_08_0579	GmComposite2003_A2	60.59
cr415_1	GmComposite2003_A2	60.90
A975_2	GmComposite2003_A2	61.29
BARCSOYSSR_08_0651	GmComposite2003_A2	61.44
BARCSOYSSR_08_0651	GmComposite2003_A2	61.44
BARCSOYSSR_08_0651	GmComposite2003_A2	61.44
CSSR571	GmComposite2003_A2	61.44
CSSR574	GmComposite2003_A2	61.44
GMES2791	GmComposite2003_A2	61.44
BARC-065571-19573	GmComposite2003_A2	61.99
SAC7_2	GmComposite2003_A2	64.89
SAC3_1	GmComposite2003_A2	65.74
OW15_400	GmComposite2003_A2	66.80
A111_1	GmComposite2003_A2	67.33
BARCSOYSSR_08_0651	GmComposite2003_A2	67.86
AW132402	GmComposite2003_A2	67.86
A136_1	GmComposite2003_A2	71.38
P003_1	GmComposite2003_A2	75.89
Satt341	GmComposite2003_A2	77.69
BARCSOYSSR_08_0724	GmComposite2003_A2	77.69
Sat_115	GmComposite2003_A2	81.01
BARC-055265-13154	GmComposite2003_A2	81.06
OP_M12a	GmComposite2003_A2	83.13
BARCSOYSSR_08_0948	GmComposite2003_A2	83.61
GMES4727	GmComposite2003_A2	83.61
BARCSOYSSR_08_0849	GmComposite2003_A2	84.08
BARCSOYSSR_08_0818	GmComposite2003_A2	84.08
Sat_129	GmComposite2003_A2	84.08
Sat_199	GmComposite2003_A2	84.08
Y13	GmComposite2003_A2	85.00
A638_1	GmComposite2003_A2	85.81
Sat_233	GmComposite2003_A2	86.41
BARCSOYSSR_08_0879	GmComposite2003_A2	86.41
BARCSOYSSR_08_0858	GmComposite2003_A2	87.57
Satt089	GmComposite2003_A2	87.57
Satt390	GmComposite2003_A2	9.14
BARCSOYSSR_08_0064	GmComposite2003_A2	9.14
BARCSOYSSR_08_0909	GmComposite2003_A2	90.83
Satt377	GmComposite2003_A2	90.83
CRY2_1	GmComposite2003_A2	91.70
Satt119	GmComposite2003_A2	92.43
VSP27	GmComposite2003_A2	92.53
Bng121_1	GmComposite2003_A2	94.30
Satt525	GmComposite2003_A2	96.97
BARCSOYSSR_08_0948	GmComposite2003_A2	96.97
BE806308	GmComposite2003_B1	0.00
D2	GmComposite2003_B1	0.58
B219_1	GmComposite2003_B1	0.59
BARC-035379-07181	GmComposite2003_B1	100.51
Sat_123	GmComposite2003_B1	100.87
BARCSOYSSR_11_1355	GmComposite2003_B1	100.87
BARCSOYSSR_11_1373	GmComposite2003_B1	102.55
Satt359	GmComposite2003_B1	102.55
Ngm 70	GmComposite2003_B1	108.00
K011_2	GmComposite2003_B1	11.85
R244_1	GmComposite2003_B1	115.75
Satt484	GmComposite2003_B1	118.52
SSR0802_1	GmComposite2003_B1	12.10
H3_c6_1	GmComposite2003_B1	121.14
Satt453	GmComposite2003_B1	123.95
BARCSOYSSR_11_1468	GmComposite2003_B1	123.95
SSR0736_1	GmComposite2003_B1	125.00
BARCSOYSSR_11_1469	GmComposite2003_B1	125.73
Sat_331	GmComposite2003_B1	125.73
A567_1	GmComposite2003_B1	125.98
BE801538	GmComposite2003_B1	126.51
SSR2419_1	GmComposite2003_B1	127.00
AQ851479	GmComposite2003_B1	128.66
BARCSOYSSR_11_1443	GmComposite2003_B1	128.66
A598_1	GmComposite2003_B1	131.39
L050_1	GmComposite2003_B1	131.81
BARCSOYSSR_11_0142	GmComposite2003_B1	14.32
Sat_272	GmComposite2003_B1	14.32
Bng061_1	GmComposite2003_B1	16.10
A588_1	GmComposite2003_B1	16.70
cr207_1	GmComposite2003_B1	20.00
Sat_270	GmComposite2003_B1	21.99
BARCSOYSSR_11_0227	GmComposite2003_B1	21.99
OP_Q17	GmComposite2003_B1	22.58
BARC-021149-03992	GmComposite2003_B1	23.29
A702_1	GmComposite2003_B1	25.17
BARCSOYSSR_11_0313	GmComposite2003_B1	28.33
Satt426	GmComposite2003_B1	28.33
BARC-032333-08951	GmComposite2003_B1	29.14
BARC-030863-06956	GmComposite2003_B1	29.17
A109_1	GmComposite2003_B1	29.17
Aco4	GmComposite2003_B1	29.88
Sat_411	GmComposite2003_B1	30.87
Mng415_1	GmComposite2003_B1	31.78
Satt509	GmComposite2003_B1	32.50
BARCSOYSSR_11_0342	GmComposite2003_B1	32.50
BARCSOYSSR_11_0326	GmComposite2003_B1	32.95
Sat_261	GmComposite2003_B1	32.95
Sat_156	GmComposite2003_B1	35.00
Satt251	GmComposite2003_B1	36.48
BARCSOYSSR_11_0375	GmComposite2003_B1	36.48
SSR3993_1	GmComposite2003_B1	36.50
pcr2_168	GmComposite2003_B1	37.26
A381_2	GmComposite2003_B1	37.76
BARCSOYSSR_11_0380	GmComposite2003_B1	37.79
Satt638	GmComposite2003_B1	37.79
A129_1	GmComposite2003_B1	38.63
A632_1	GmComposite2003_B1	38.68
Bng158_1	GmComposite2003_B1	39.63
B031_1	GmComposite2003_B1	39.64
Bng182_1	GmComposite2003_B1	39.96
A333_1	GmComposite2003_B1	4.88
Pa1	GmComposite2003_B1	40.00
A847_1	GmComposite2003_B1	40.08
BARC-042837-08435	GmComposite2003_B1	41.48
COL1_1	GmComposite2003_B1	42.12
BARC-050091-09377	GmComposite2003_B1	44.82
cr122_1	GmComposite2003_B1	45.00
Satt197	GmComposite2003_B1	46.38
BARCSOYSSR_11_0482	GmComposite2003_B1	46.38
SSR0512_1	GmComposite2003_B1	49.70
BARCSOYSSR_11_0496	GmComposite2003_B1	49.73
Sat_247	GmComposite2003_B1	49.73
T028_1	GmComposite2003_B1	5.07
H3_28_1	GmComposite2003_B1	52.55
Sat_128	GmComposite2003_B1	53.41
BARCSOYSSR_11_0544	GmComposite2003_B1	53.41
BARCSOYSSR_11_0545	GmComposite2003_B1	53.42
BARCSOYSSR_11_0543	GmComposite2003_B1	54.00
Sat_149	GmComposite2003_B1	54.00
A262_3	GmComposite2003_B1	54.76
BARC-032817-09052	GmComposite2003_B1	54.77
BARC-042473-08271	GmComposite2003_B1	55.81
ss107920383	GmComposite2003_B1	56.81
BARC-016279-02316	GmComposite2003_B1	57.52
T092_3	GmComposite2003_B1	57.83
Satt519	GmComposite2003_B1	57.91
BARCSOYSSR_11_0688	GmComposite2003_B1	57.91
A118_1	GmComposite2003_B1	58.91
A520_1	GmComposite2003_B1	59.10
A089_2	GmComposite2003_B1	59.66
SSR0129_1	GmComposite2003_B1	61.90
SSR2858_1	GmComposite2003_B1	63.00
BARC-054421-12081	GmComposite2003_B1	63.76
K1	GmComposite2003_B1	64.00
A006_1	GmComposite2003_B1	64.77
Satt298	GmComposite2003_B1	64.91
SSR2421_1	GmComposite2003_B1	65.70
BARC-059851-16137	GmComposite2003_B1	66.15
BLT043_1	GmComposite2003_B1	66.77
BARC-050069-09363	GmComposite2003_B1	68.17
mO011_1	GmComposite2003_B1	71.24
BARCSOYSSR_11_0828	GmComposite2003_B1	71.97
Sat_348	GmComposite2003_B1	71.97
GM021	GmComposite2003_B1	72.60
Satt597	GmComposite2003_B1	73.76
BARCSOYSSR_11_0839	GmComposite2003_B1	73.76
BLT019_2	GmComposite2003_B1	74.57
SSR0208_1	GmComposite2003_B1	76.00
ss107922154	GmComposite2003_B1	77.01
Sct_026	GmComposite2003_B1	78.12
G214_3	GmComposite2003_B1	78.91
Sat_360	GmComposite2003_B1	80.19
SSR4033_1	GmComposite2003_B1	80.80
Satt332	GmComposite2003_B1	80.88
BARCSOYSSR_11_0936	GmComposite2003_B1	80.88
BARCSOYSSR_11_1065	GmComposite2003_B1	81.30
Sat_095	GmComposite2003_B1	81.30
L204_1	GmComposite2003_B1	81.56
Satt430	GmComposite2003_B1	81.91
BARCSOYSSR_11_1022	GmComposite2003_B1	81.91
BARC-042843-08437	GmComposite2003_B1	81.99
BARC-059773-16088	GmComposite2003_B1	82.04
BARCSOYSSR_11_1167	GmComposite2003_B1	82.88
Satt415	GmComposite2003_B1	82.88
Satt583	GmComposite2003_B1	84.19
Sat_364	GmComposite2003_B1	84.25
BARCSOYSSR_11_1138	GmComposite2003_B1	84.25
BARCSOYSSR_11_1225	GmComposite2003_B1	85.91
Satt444	GmComposite2003_B1	85.91
Satt665	GmComposite2003_B1	96.36
BARCSOYSSR_11_1324	GmComposite2003_B1	96.36
BARC-042299-08241	GmComposite2003_B1	98.30
SSR2009_1	GmComposite2003_B1S	6.70
BLT013_2	GmComposite2003_B2	0.00
V55b	GmComposite2003_B2	10.03
BARCSOYSSR_14_1377	GmComposite2003_B2	100.09
Sat_424	GmComposite2003_B2	100.09
Satt726	GmComposite2003_B2	100.55
BARCSOYSSR_14_1382	GmComposite2003_B2	100.55
A234_1	GmComposite2003_B2	102.38
Rsv3	GmComposite2003_B2	104.00
Mng247_1	GmComposite2003_B2	104.13
A519_1	GmComposite2003_B2	104.73
A043_1	GmComposite2003_B2	11.35
M9E1mr3	GmComposite2003_B2	110.44
A404_2	GmComposite2003_B2	110.70
A183_1	GmComposite2003_B2	110.81
A427_1	GmComposite2003_B2	110.96
BARCSOYSSR_14_1516	GmComposite2003_B2	113.61
Satt687	GmComposite2003_B2	113.61
B221_1	GmComposite2003_B2	116.23
A230_1	GmComposite2003_B2	116.32
H3_60_1	GmComposite2003_B2	116.33
G214_6	GmComposite2003_B2	116.78
T005_1	GmComposite2003_B2	118.69
Sat_264	GmComposite2003_B2	12.56
BARCSOYSSR_14_0096	GmComposite2003_B2	12.56
Tel450	GmComposite2003_B2	120.98
A135_1	GmComposite2003_B2	13.59
L191_1	GmComposite2003_B2	13.83
A685_1	GmComposite2003_B2	14.82
Bng069_2	GmComposite2003_B2	15.40
BARCSOYSSR_14_0362	GmComposite2003_B2	17.77
Satt467	GmComposite2003_B2	17.77
T270_2	GmComposite2003_B2	18.79
ss248275088	GmComposite2003_B2	19.87
K411_2	GmComposite2003_B2	19.90
Sat_342	GmComposite2003_B2	20.30
BARCSOYSSR_14_0147	GmComposite2003_B2	20.30
SSR0156_1	GmComposite2003_B2	22.10
SSR0249_1	GmComposite2003_B2	25.90
BARCSOYSSR_14_0271	GmComposite2003_B2	27.62
Satt126	GmComposite2003_B2	27.62
G214_23	GmComposite2003_B2	28.45
A352_1	GmComposite2003_B2	29.19
Sat_287	GmComposite2003_B2	31.87
BARCSOYSSR_14_0281	GmComposite2003_B2	31.87
A242_1	GmComposite2003_B2	33.13
RGA8	GmComposite2003_B2	33.50
RGA_8	GmComposite2003_B2	33.96
ss248278947	GmComposite2003_B2	37.04
A343_1	GmComposite2003_B2	37.99
OP_T02	GmComposite2003_B2	38.01
BARC-055975-13947	GmComposite2003_B2	40.34
GMES0711	GmComposite2003_B2	43.15
BARCSOYSSR_14_0440	GmComposite2003_B2	43.15
B142_1	GmComposite2003_B2	43.58
BARC-044549-08718	GmComposite2003_B2	46.86
BARCSOYSSR_14_0440	GmComposite2003_B2	51.45
Sct_034	GmComposite2003_B2	51.45
Satt083	GmComposite2003_B2	51.49
ss248293401	GmComposite2003_B2	52.03
A018_1	GmComposite2003_B2	53.54
cr395_1	GmComposite2003_B2	55.18
Satt168	GmComposite2003_B2	55.20
BARCSOYSSR_14_0463	GmComposite2003_B2	55.20
OP_E02a	GmComposite2003_B2	56.14
BARCSOYSSR_14_0485	GmComposite2003_B2	56.95
Satt416	GmComposite2003_B2	56.95
ss248308274	GmComposite2003_B2	57.74
SSR0312_1	GmComposite2003_B2	57.80
ss248308822	GmComposite2003_B2	57.85
ss248308943	GmComposite2003_B2	57.88
ss248309108	GmComposite2003_B2	57.92
SSR0676_1	GmComposite2003_B2	59.00
BLT049_2	GmComposite2003_B2	59.82
Satt577	GmComposite2003_B2	6.05
BARCSOYSSR_14_0036	GmComposite2003_B2	6.05
SSR0130_1	GmComposite2003_B2	61.70
BARC-059265-15700	GmComposite2003_B2	62.31
A329_1	GmComposite2003_B2	62.74
SSR6258_1	GmComposite2003_B2	63.20
A509_1	GmComposite2003_B2	63.68
OPAF15a	GmComposite2003_B2	64.23
SSR0337_1	GmComposite2003_B2	64.40
ss248330608	GmComposite2003_B2	64.98
A619_1	GmComposite2003_B2	65.00
BARCSOYSSR_14_0646	GmComposite2003_B2	65.55
Satt304	GmComposite2003_B2	65.55
Sat_355	GmComposite2003_B2	66.23
BARCSOYSSR_14_0663	GmComposite2003_B2	66.23
M9E1mr1	GmComposite2003_B2	66.81
BARCSOYSSR_14_0920	GmComposite2003_B2	67.73
Satt601	GmComposite2003_B2	67.73
OP_C09	GmComposite2003_B2	67.98
Sat_182	GmComposite2003_B2	68.63
BARCSOYSSR_14_0919	GmComposite2003_B2	68.63
BARCSOYSSR_14_0682	GmComposite2003_B2	68.98
Sat_083	GmComposite2003_B2	68.98
SSR2496_1	GmComposite2003_B2	7.60
SSR0786_1	GmComposite2003_B2	7.70
Sat_177	GmComposite2003_B2	7.84
BARCSOYSSR_14_0051	GmComposite2003_B2	7.84
SSR3604_1	GmComposite2003_B2	7.90
Satt318	GmComposite2003_B2	70.12
BARCSOYSSR_14_1088	GmComposite2003_B2	70.55
Sct_094	GmComposite2003_B2	70.55
OP_D01c	GmComposite2003_B2	70.84
G214_4	GmComposite2003_B2	70.88
BARC-018353-03589	GmComposite2003_B2	71.46
Satt272	GmComposite2003_B2	71.68
Sat_230	GmComposite2003_B2	72.08
BARCSOYSSR_14_1169	GmComposite2003_B2	72.08
BARCSOYSSR_14_1160	GmComposite2003_B2	72.12
Satt020	GmComposite2003_B2	72.12
Satt122	GmComposite2003_B2	72.45
BARCSOYSSR_14_1056	GmComposite2003_B2	72.45
BLT057_2	GmComposite2003_B2	72.51
Satt070	GmComposite2003_B2	72.80
BARCSOYSSR_14_1036	GmComposite2003_B2	72.91
Sat_189	GmComposite2003_B2	72.91
A148_2	GmComposite2003_B2	73.00
Satt556	GmComposite2003_B2	73.20
BARCSOYSSR_14_1110	GmComposite2003_B2	73.20
DOP_F04	GmComposite2003_B2	73.54
L201_1	GmComposite2003_B2	74.47
Mng003_1	GmComposite2003_B2	74.69
B153_1	GmComposite2003_B2	74.78
SSR1815_1	GmComposite2003_B2	74.80
BARC-056587-14511	GmComposite2003_B2	75.15
BARCSOYSSR_14_1033	GmComposite2003_B2	75.34
Satt474	GmComposite2003_B2	75.34
G214_5	GmComposite2003_B2	75.81
PHYA_1	GmComposite2003_B2	76.50
Sat_009	GmComposite2003_B2	78.66
Satt066	GmComposite2003_B2	78.83
A523_1	GmComposite2003_B2	8.57
SSR14-1316	GmComposite2003_B2	80.47
SSR0463_1	GmComposite2003_B2	80.90
SSR0168_1	GmComposite2003_B2	81.40
SSR14-1341	GmComposite2003_B2	82.00
B124_1	GmComposite2003_B2	83.59
Mng474_1	GmComposite2003_B2	83.91
Fas	GmComposite2003_B2	85.00
Satt534	GmComposite2003_B2	87.58
BARCSOYSSR_14_1316	GmComposite2003_B2	87.58
Fan	GmComposite2003_B2	89.20
BARCSOYSSR_14_1302	GmComposite2003_B2	89.30
Sct_064	GmComposite2003_B2	89.30
B194_1	GmComposite2003_B2	89.88
AW620774	GmComposite2003_B2	90.30
BARCSOYSSR_14_1341	GmComposite2003_B2	90.30
A741_1	GmComposite2003_B2	90.99
BARC-013273-00464	GmComposite2003_B2	91.29
S506	GmComposite2003_B2	92.20
