#QTLName	OntologyIdentifier
Chlorimuron sensitivity 1-2	TO:0000712
Chlorimuron sensitivity 1-3	TO:0000712
Chlorimuron sensitivity 1-4	TO:0000712
Chlorimuron sensitivity 1-5	TO:0000712
Chlorimuron sensitivity 1-6	TO:0000712
Chlorimuron sensitivity 1-7	TO:0000712
Chlorimuron sensitivity 1-8	TO:0000712
Chlorimuron sensitivity 1-9	TO:0000712
Chlorimuron sensitivity 2-1	TO:0000712
Chlorimuron sensitivity 2-2	TO:0000712
Chlorimuron sensitivity 2-3	TO:0000712
Chlorosis, leaflet Mn induced 1-1	PO:0020049
Chlorosis, leaflet Mn induced 1-1	TO:0000073
Chlorosis, leaflet Mn induced 1-2	PO:0020049
Chlorosis, leaflet Mn induced 1-2	TO:0000073
Common cutworm 1-1	GO:0009625
Common cutworm 1-1	TO:000037
Common cutworm 1-2	GO:0009625
Common cutworm 1-2	TO:000037
Common cutworm 2-1	GO:0009625
Common cutworm 2-1	TO:000037
Corn earworm 1-1	GO:0009625
Corn earworm 1-1	TO:0000961
Corn earworm 1-2	GO:0009625
Corn earworm 1-2	TO:0000961
Corn earworm 1-3	GO:0009625
Corn earworm 1-3	TO:0000961
Corn earworm 2-1	GO:0009625
Corn earworm 2-1	TO:0000961
Corn earworm 2-2	GO:0009625
Corn earworm 2-2	TO:0000961
Corn earworm 2-3	GO:0009625
Corn earworm 2-3	TO:0000961
Corn earworm 3-1	GO:0009625
Corn earworm 3-1	TO:0000961
Corn earworm 3-2	GO:0009625
Corn earworm 3-2	TO:0000961
Corn earworm 4-1	GO:0009625
Corn earworm 4-1	TO:0000961
Corn earworm 5-1	GO:0009625
Corn earworm 5-1	TO:0000961
Corn earworm 5-2	GO:0009625
Corn earworm 5-2	TO:0000961
Corn earworm 6-1	GO:0009625
Corn earworm 6-1	TO:0000961
Corn earworm 6-2	GO:0009625
Corn earworm 6-2	TO:0000961
Corn earworm 6-3	GO:0009625
Corn earworm 6-3	TO:0000961
Corn earworm 7-1	GO:0009625
Corn earworm 7-1	TO:0000961
Corn earworm 7-2	GO:0009625
Corn earworm 7-2	TO:0000961
Corn earworm 7-3	GO:0009625
Corn earworm 7-3	TO:0000961
Corn earworm 7-4	GO:0009625
Corn earworm 7-4	TO:0000961
Corn earworm 7-5	GO:0009625
Corn earworm 7-5	TO:0000961
Corn earworm 8-1	GO:0009625
Corn earworm 8-1	TO:0000961
Corn earworm 8-2	GO:0009625
Corn earworm 8-2	TO:0000961
Corn earworm 8-3	GO:0009625
Corn earworm 8-3	TO:0000961
Corn earworm 9-1	GO:0009625
Corn earworm 9-1	TO:0000961
Corn earworm 9-2	GO:0009625
Corn earworm 9-2	TO:0000961
Corn earworm 9-3	GO:0009625
Corn earworm 9-3	TO:0000961
Corn earworm 9-4	GO:0009625
Corn earworm 9-4	TO:0000961
Corn earworm 9-5	GO:0009625
Corn earworm 9-5	TO:0000961
cqR8 Full maturity-001	GO:0010154
cqR8 Full maturity-001	PO:0001040
cqR8 Full maturity-001	PO:0009010
cqR8 Full maturity-001	TO:0002661
cqSCN-001	GO:0009624
cqSCN-001	TO:0000384
cqSCN-002	GO:0009624
cqSCN-002	TO:0000384
cqSCN-003	GO:0009624
cqSCN-003	TO:0000384
cqSCN-005	GO:0009624
cqSCN-005	TO:0000384
cqSCN-006	GO:0009624
cqSCN-006	TO:0000384
cqSCN-007	GO:0009624
cqSCN-007	TO:0000384
cqSDS-001	TO:0000439
cqSeed oil-001	PO:0009010
cqSeed oil-001	TO:0000604
cqSeed oil-002	PO:0009010
