#QTLName	OntologyIdentifier
Nodule number 1-3	TO:0000900
Nodule number 2-1	GO:0009877
Nodule number 2-1	PO:0003023
Nodule number 2-1	TO:0000900
Nodule number 2-10	GO:0009877
Nodule number 2-10	PO:0003023
Nodule number 2-10	TO:0000900
Nodule number 2-2	GO:0009877
Nodule number 2-2	PO:0003023
Nodule number 2-2	TO:0000900
Nodule number 2-3	GO:0009877
Nodule number 2-3	PO:0003023
Nodule number 2-3	TO:0000900
Nodule number 2-4	GO:0009877
Nodule number 2-4	PO:0003023
Nodule number 2-4	TO:0000900
Nodule number 2-5	GO:0009877
Nodule number 2-5	PO:0003023
Nodule number 2-5	TO:0000900
Nodule number 2-6	GO:0009877
Nodule number 2-6	PO:0003023
Nodule number 2-6	TO:0000900
Nodule number 2-7	GO:0009877
Nodule number 2-7	PO:0003023
Nodule number 2-7	TO:0000900
Nodule number 2-8	GO:0009877
Nodule number 2-8	PO:0003023
Nodule number 2-8	TO:0000900
Nodule number 2-9	GO:0009877
Nodule number 2-9	PO:0003023
Nodule number 2-9	TO:0000900
Nodule number 3-1	GO:0009877
Nodule number 3-1	PO:0003023
Nodule number 3-1	TO:0000900
Nodule number 3-2	GO:0009877
Nodule number 3-2	PO:0003023
Nodule number 3-2	TO:0000900
Nodule number 3-3	GO:0009877
Nodule number 3-3	PO:0003023
Nodule number 3-3	TO:0000900
Nodule number 3-4	GO:0009877
Nodule number 3-4	PO:0003023
Nodule number 3-4	TO:0000900
Nodule number 3-5	GO:0009877
Nodule number 3-5	PO:0003023
Nodule number 3-5	TO:0000900
Nodule number 3-6	GO:0009877
Nodule number 3-6	PO:0003023
Nodule number 3-6	TO:0000900
Nodule number 3-7	GO:0009877
Nodule number 3-7	PO:0003023
Nodule number 3-7	TO:0000900
Nodule size 1-1	PO:0003023
Nodule size 1-1	TO:0000898
Nodule size 1-2	PO:0003023
Nodule size 1-2	TO:0000898
Nodule size 1-3	PO:0003023
Nodule size 1-3	TO:0000898
Nodule size 1-4	PO:0003023
Nodule size 1-4	TO:0000898
Nodule size 1-5	PO:0003023
Nodule size 1-5	TO:0000898
Nodule size 1-6	PO:0003023
Nodule size 1-6	TO:0000898
Nodule size 1-7	PO:0003023
Nodule size 1-7	TO:0000898
Nodule size 1-8	PO:0003023
Nodule size 1-8	TO:0000898
Nodule weight per plant, dry 1-1	PO:0003023
Nodule weight per plant, dry 1-1	TO:0000899
Nodule weight per plant, dry 1-10	PO:0003023
Nodule weight per plant, dry 1-10	TO:0000899
Nodule weight per plant, dry 1-11	PO:0003023
Nodule weight per plant, dry 1-11	TO:0000899
Nodule weight per plant, dry 1-12	PO:0003023
Nodule weight per plant, dry 1-12	TO:0000899
Nodule weight per plant, dry 1-2	PO:0003023
Nodule weight per plant, dry 1-2	TO:0000899
Nodule weight per plant, dry 1-3	PO:0003023
Nodule weight per plant, dry 1-3	TO:0000899
Nodule weight per plant, dry 1-4	PO:0003023
Nodule weight per plant, dry 1-4	TO:0000899
Nodule weight per plant, dry 1-5	PO:0003023
Nodule weight per plant, dry 1-5	TO:0000899
Nodule weight per plant, dry 1-6	PO:0003023
Nodule weight per plant, dry 1-6	TO:0000899
Nodule weight per plant, dry 1-7	PO:0003023
Nodule weight per plant, dry 1-7	TO:0000899
Nodule weight per plant, dry 1-8	PO:0003023
Nodule weight per plant, dry 1-8	TO:0000899
Nodule weight per plant, dry 1-9	PO:0003023
Nodule weight per plant, dry 1-9	TO:0000899
Nodule weight, dry 1-1	PO:0003023
Nodule weight, dry 1-1	TO:0000899
Nodule weight, dry 1-2	PO:0003023
Nodule weight, dry 1-2	TO:0000899
Nodule weight, dry 1-3	PO:0003023
Nodule weight, dry 1-3	TO:0000899
Peanut root-knot nematode 1-1	GO:0009624
Peanut root-knot nematode 1-1	TO:0000384
Peanut root-knot nematode 1-2	GO:0009624
Peanut root-knot nematode 1-2	TO:0000384
Peanut root-knot nematode 1-3	GO:0009624
Peanut root-knot nematode 1-3	TO:0000384
Peanut root-knot nematode 1-4	GO:0009624
Peanut root-knot nematode 1-4	TO:0000384
Peanut root-knot nematode 1-5	GO:0009624
Peanut root-knot nematode 1-5	TO:0000384
Peanut root-knot nematode 2-1	GO:0009624
Peanut root-knot nematode 2-1	TO:0000384
Peanut root-knot nematode 2-2	GO:0009624
Peanut root-knot nematode 2-2	TO:0000384
Petiole color, UV-B induced 1-1	PO:0020038
Petiole color, UV-B induced 1-1	TO:0002707
Petiole color, UV-B induced 1-2	PO:0020038
Petiole color, UV-B induced 1-2	TO:0002707
Petiole color, UV-B induced 1-3	PO:0020038
Petiole color, UV-B induced 1-3	TO:0002707
Petiole color, UV-B induced 1-4	PO:0020038
Petiole color, UV-B induced 1-4	TO:0002707
Petiole color, UV-B induced 1-5	PO:0020038
Petiole color, UV-B induced 1-5	TO:0002707
Petiole color, UV-B induced 1-6	PO:0020038
Petiole color, UV-B induced 1-6	TO:0002707
Petiole color, UV-B induced 1-7	PO:0020038
Petiole color, UV-B induced 1-7	TO:0002707
Petiole color, UV-B induced 1-8	PO:0020038
Petiole color, UV-B induced 1-8	TO:0002707
Petiole color, UV-B induced 1-9	PO:0020038
Petiole color, UV-B induced 1-9	TO:0002707
pH sensitivity 1-1	PO:0000003
pH sensitivity 1-1	TO:0000003
pH sensitivity 1-2	PO:0000003
pH sensitivity 1-2	TO:0000003
pH sensitivity 1-3	PO:0000003
pH sensitivity 1-3	TO:0000003
pH sensitivity 1-4	PO:0000003
pH sensitivity 1-4	TO:0000003
Phomopsis seed decay 1-1	TO:0000439
Phomopsis seed decay 2-1	TO:0000439
Phomopsis seed decay 3-1	TO:0000439
Phomopsis seed decay 3-2	TO:0000439
Phomopsis seed decay 4-1	TO:0000439
Phomopsis seed decay 4-2	TO:0000439
Photoperiod insensitivity 1-1	GO:0010017
Photoperiod insensitivity 1-1	GO:0048573
Photoperiod insensitivity 1-1	PO:0000003
Photoperiod insensitivity 1-1	TO:0000229
Photoperiod insensitivity 2-1	GO:0010017
Photoperiod insensitivity 2-1	GO:0048573
Photoperiod insensitivity 2-1	PO:0000003
Photoperiod insensitivity 2-1	TO:0000229
Photoperiod insensitivity 2-2	GO:0010017
Photoperiod insensitivity 2-2	GO:0048573
Photoperiod insensitivity 2-2	PO:0000003
Photoperiod insensitivity 2-2	TO:0000229
Photoperiod insensitivity 3-1	GO:0010017
Photoperiod insensitivity 3-1	GO:0048573
Photoperiod insensitivity 3-1	PO:0000003
Photoperiod insensitivity 3-1	TO:0000229
Photoperiod insensitivity 3-2	GO:0010017
Photoperiod insensitivity 3-2	GO:0048573
Photoperiod insensitivity 3-2	PO:0000003
Photoperiod insensitivity 3-2	TO:0000229
Photoperiod insensitivity 4-1	GO:0010017
Photoperiod insensitivity 4-1	GO:0048573
Photoperiod insensitivity 4-1	PO:0000003
Photoperiod insensitivity 4-1	TO:0000229
Photoperiod insensitivity 5-1	GO:0010017
Photoperiod insensitivity 5-1	GO:0048573
Photoperiod insensitivity 5-1	PO:0000003
Photoperiod insensitivity 5-1	TO:0000229
Photoperiod insensitivity 5-2	GO:0010017
Photoperiod insensitivity 5-2	GO:0048573
Photoperiod insensitivity 5-2	PO:0000003
Photoperiod insensitivity 5-2	TO:0000229
Photoperiod insensitivity 5-3	GO:0010017
Photoperiod insensitivity 5-3	GO:0048573
Photoperiod insensitivity 5-3	PO:0000003
Photoperiod insensitivity 5-3	TO:0000229
Photoperiod insensitivity 5-4	GO:0010017
Photoperiod insensitivity 5-4	GO:0048573
Photoperiod insensitivity 5-4	PO:0000003
Photoperiod insensitivity 5-4	TO:0000229
Phytoph 1-1	TO:0000439
Phytoph 1-2	TO:0000439
Phytoph 10-1	TO:0000439
Phytoph 10-2	TO:0000439
Phytoph 10-3	TO:0000439
Phytoph 11-1	TO:0000439
Phytoph 11-10	TO:0000439
Phytoph 11-11	TO:0000439
Phytoph 11-12	TO:0000439
Phytoph 11-13	TO:0000439
Phytoph 11-14	TO:0000439
Phytoph 11-15	TO:0000439
Phytoph 11-16	TO:0000439
Phytoph 11-17	TO:0000439
Phytoph 11-18	TO:0000439
Phytoph 11-19	TO:0000439
Phytoph 11-2	TO:0000439
Phytoph 11-20	TO:0000439
Phytoph 11-21	TO:0000439
Phytoph 11-22	TO:0000439
Phytoph 11-3	TO:0000439
Phytoph 11-4	TO:0000439
Phytoph 11-5	TO:0000439
Phytoph 11-6	TO:0000439
Phytoph 11-7	TO:0000439
Phytoph 11-8	TO:0000439
Phytoph 11-9	TO:0000439
Phytoph 12-1	TO:0000439
Phytoph 12-2	TO:0000439
Phytoph 13-1	TO:0000439
Phytoph 13-2	TO:0000439
Phytoph 13-3	TO:0000439
Phytoph 13-4	TO:0000439
Phytoph 13-5	TO:0000439
Phytoph 14-1	TO:0000439
Phytoph 14-10	TO:0000439
Phytoph 14-2	TO:0000439
Phytoph 14-3	TO:0000439
Phytoph 14-4	TO:0000439
Phytoph 14-5	TO:0000439
Phytoph 14-6	TO:0000439
Phytoph 14-7	TO:0000439
Phytoph 14-8	TO:0000439
Phytoph 14-9	TO:0000439
Phytoph 15-1	TO:0000439
Phytoph 15-2	TO:0000439
Phytoph 15-3	TO:0000439
Phytoph 15-4	TO:0000439
Phytoph 15-5	TO:0000439
Phytoph 2-1	TO:0000439
Phytoph 2-2	TO:0000439
Phytoph 3-1	TO:0000439
Phytoph 3-2	TO:0000439
Phytoph 4-1	TO:0000439
Phytoph 4-2	TO:0000439
Phytoph 5-1	TO:0000439
Phytoph 5-2	TO:0000439
Phytoph 5-3	TO:0000439
Phytoph 6-1	TO:0000439
Phytoph 6-2	TO:0000439
Phytoph 6-3	TO:0000439
Phytoph 6-4	TO:0000439
Phytoph 6-5	TO:0000439
Phytoph 6-6	TO:0000439
Phytoph 6-7	TO:0000439
Phytoph 6-8	TO:0000439
Phytoph 7-1	TO:0000439
Phytoph 8-1	TO:0000439
Phytoph 8-2	TO:0000439
Phytoph 8-3	TO:0000439
Phytoph 8-4	TO:0000439
Phytoph 9-1	TO:0000439
Phytoph 9-2	TO:0000439
Phytoph 9-3	TO:0000439
Phytoph 9-4	TO:0000439
Phytoph 9-5	TO:0000439
Phytoph 9-6	TO:0000439
Plant height 1-1	PO:0006341
Plant height 1-1	TO:0000207
Plant height 10-1	PO:0006341
Plant height 10-1	TO:0000207
Plant height 10-2	PO:0006341
Plant height 10-2	TO:0000207
Plant height 10-3	PO:0006341
Plant height 10-3	TO:0000207
Plant height 10-4	PO:0006341
Plant height 10-4	TO:0000207
Plant height 11-1	PO:0006341
Plant height 11-1	TO:0000207
Plant height 11-2	PO:0006341
Plant height 11-2	TO:0000207
Plant height 11-3	PO:0006341
Plant height 11-3	TO:0000207
Plant height 11-4	PO:0006341
Plant height 11-4	TO:0000207
Plant height 12-1	PO:0006341
Plant height 12-1	TO:0000207
Plant height 13-1	PO:0006341
Plant height 13-1	TO:0000207
Plant height 13-2	PO:0006341
Plant height 13-2	TO:0000207
Plant height 13-3	PO:0006341
Plant height 13-3	TO:0000207
Plant height 13-4	PO:0006341
Plant height 13-4	TO:0000207
Plant height 13-5	PO:0006341
Plant height 13-5	TO:0000207
Plant height 13-6	PO:0006341
Plant height 13-6	TO:0000207
Plant height 13-7	PO:0006341
Plant height 13-7	TO:0000207
Plant height 13-8	PO:0006341
Plant height 13-8	TO:0000207
Plant height 13-9	PO:0006341
Plant height 13-9	TO:0000207
Plant height 14-1	PO:0006341
Plant height 14-1	TO:0000207
Plant height 15-1	PO:0006341
Plant height 15-1	TO:0000207
Plant height 16-1	PO:0006341
Plant height 16-1	TO:0000207
Plant height 17-1	PO:0006341
Plant height 17-1	TO:0000207
Plant height 17-10	PO:0006341
Plant height 17-10	TO:0000207
Plant height 17-11	PO:0006341
Plant height 17-11	TO:0000207
Plant height 17-12	PO:0006341
Plant height 17-12	TO:0000207
Plant height 17-2	PO:0006341
Plant height 17-2	TO:0000207
Plant height 17-3	PO:0006341
Plant height 17-3	TO:0000207
Plant height 17-4	PO:0006341
Plant height 17-4	TO:0000207
Plant height 17-5	PO:0006341
Plant height 17-5	TO:0000207
Plant height 17-6	PO:0006341
Plant height 17-6	TO:0000207
Plant height 17-7	PO:0006341
Plant height 17-7	TO:0000207
Plant height 17-8	PO:0006341
Plant height 17-8	TO:0000207
Plant height 17-9	PO:0006341
Plant height 17-9	TO:0000207
Plant height 18-1	PO:0006341
Plant height 18-1	TO:0000207
Plant height 18-2	PO:0006341
Plant height 18-2	TO:0000207
Plant height 18-3	PO:0006341
Plant height 18-3	TO:0000207
Plant height 18-4	PO:0006341
Plant height 18-4	TO:0000207
Plant height 18-5	PO:0006341
Plant height 18-5	TO:0000207
Plant height 18-6	PO:0006341
Plant height 18-6	TO:0000207
Plant height 19-1	PO:0006341
Plant height 19-1	TO:0000207
Plant height 19-2	PO:0006341
Plant height 19-2	TO:0000207
Plant height 19-3	PO:0006341
Plant height 19-3	TO:0000207
Plant height 19-4	PO:0006341
Plant height 19-4	TO:0000207
Plant height 19-5	PO:0006341
Plant height 19-5	TO:0000207
Plant height 2-1	PO:0006341
Plant height 2-1	TO:0000207
Plant height 2-2	PO:0006341
Plant height 2-2	TO:0000207
Plant height 2-3	PO:0006341
Plant height 2-3	TO:0000207
Plant height 2-4	PO:0006341
Plant height 2-4	TO:0000207
Plant height 20-1	PO:0006341
Plant height 20-1	TO:0000207
Plant height 20-10	PO:0006341
Plant height 20-10	TO:0000207
Plant height 20-11	PO:0006341
Plant height 20-11	TO:0000207
Plant height 20-12	PO:0006341
Plant height 20-12	TO:0000207
Plant height 20-2	PO:0006341
Plant height 20-2	TO:0000207
Plant height 20-3	PO:0006341
Plant height 20-3	TO:0000207
Plant height 20-4	PO:0006341
Plant height 20-4	TO:0000207
Plant height 20-5	PO:0006341
Plant height 20-5	TO:0000207
Plant height 20-6	PO:0006341
Plant height 20-6	TO:0000207
Plant height 20-7	PO:0006341
Plant height 20-7	TO:0000207
Plant height 20-8	PO:0006341
Plant height 20-8	TO:0000207
Plant height 20-9	PO:0006341
Plant height 20-9	TO:0000207
Plant height 21-1	PO:0006341
Plant height 21-1	TO:0000207
Plant height 21-2	PO:0006341
Plant height 21-2	TO:0000207
Plant height 21-3	PO:0006341
Plant height 21-3	TO:0000207
Plant height 21-4	PO:0006341
Plant height 21-4	TO:0000207
Plant height 21-5	PO:0006341
Plant height 21-5	TO:0000207
Plant height 21-6	PO:0006341
Plant height 21-6	TO:0000207
Plant height 21-7	PO:0006341
Plant height 21-7	TO:0000207
Plant height 21-8	PO:0006341
Plant height 21-8	TO:0000207
Plant height 22-1	PO:0006341
Plant height 22-1	TO:0000207
Plant height 23-1	PO:0006341
Plant height 23-1	TO:0000207
Plant height 23-2	PO:0006341
Plant height 23-2	TO:0000207
Plant height 23-3	PO:0006341
Plant height 23-3	TO:0000207
Plant height 23-4	PO:0006341
Plant height 23-4	TO:0000207
Plant height 23-5	PO:0006341
Plant height 23-5	TO:0000207
Plant height 23-6	PO:0006341
Plant height 23-6	TO:0000207
Plant height 23-7	PO:0006341
Plant height 23-7	TO:0000207
Plant height 23-8	PO:0006341
Plant height 23-8	TO:0000207
Plant height 24-1	PO:0006341
Plant height 24-1	TO:0000207
Plant height 24-2	PO:0006341
Plant height 24-2	TO:0000207
Plant height 24-3	PO:0006341
Plant height 24-3	TO:0000207
Plant height 24-4	PO:0006341
Plant height 24-4	TO:0000207
Plant height 24-5	PO:0006341
Plant height 24-5	TO:0000207
Plant height 24-6	PO:0006341
Plant height 24-6	TO:0000207
Plant height 24-7	PO:0006341
Plant height 24-7	TO:0000207
Plant height 24-8	PO:0006341
Plant height 24-8	TO:0000207
Plant height 25-1	PO:0006341
Plant height 25-1	TO:0000207
Plant height 25-2	PO:0006341
Plant height 25-2	TO:0000207
Plant height 25-3	PO:0006341
Plant height 25-3	TO:0000207
Plant height 25-4	PO:0006341
Plant height 25-4	TO:0000207
Plant height 25-5	PO:0006341
Plant height 25-5	TO:0000207
Plant height 25-6	PO:0006341
Plant height 25-6	TO:0000207
Plant height 26-1	PO:0006341
Plant height 26-1	TO:0000207
Plant height 26-10	PO:0006341
Plant height 26-10	TO:0000207
Plant height 26-11	PO:0006341
Plant height 26-11	TO:0000207
Plant height 26-12	PO:0006341
Plant height 26-12	TO:0000207
Plant height 26-13	PO:0006341
Plant height 26-13	TO:0000207
Plant height 26-14	PO:0006341
Plant height 26-14	TO:0000207
Plant height 26-15	PO:0006341
Plant height 26-15	TO:0000207
Plant height 26-16	PO:0006341
Plant height 26-16	TO:0000207
Plant height 26-17	PO:0006341
Plant height 26-17	TO:0000207
Plant height 26-18	PO:0006341
Plant height 26-18	TO:0000207
Plant height 26-19	PO:0006341
Plant height 26-19	TO:0000207
Plant height 26-2	PO:0006341
Plant height 26-2	TO:0000207
Plant height 26-20	PO:0006341
Plant height 26-20	TO:0000207
Plant height 26-21	PO:0006341
Plant height 26-21	TO:0000207
Plant height 26-22	PO:0006341
Plant height 26-22	TO:0000207
Plant height 26-3	PO:0006341
Plant height 26-3	TO:0000207
Plant height 26-4	PO:0006341
Plant height 26-4	TO:0000207
Plant height 26-5	PO:0006341
Plant height 26-5	TO:0000207
Plant height 26-6	PO:0006341
Plant height 26-6	TO:0000207
Plant height 26-7	PO:0006341
Plant height 26-7	TO:0000207
Plant height 26-8	PO:0006341
Plant height 26-8	TO:0000207
Plant height 26-9	PO:0006341
Plant height 26-9	TO:0000207
Plant height 27-1	PO:0006341
Plant height 27-1	TO:0000207
Plant height 27-2	PO:0006341
Plant height 27-2	TO:0000207
Plant height 28-1	PO:0006341
Plant height 28-1	TO:0000207
Plant height 29-1	PO:0006341
Plant height 29-1	TO:0000207
Plant height 29-2	PO:0006341
Plant height 29-2	TO:0000207
Plant height 29-3	PO:0006341
Plant height 29-3	TO:0000207
Plant height 29-4	PO:0006341
Plant height 29-4	TO:0000207
Plant height 3-1	PO:0006341
Plant height 3-1	TO:0000207
Plant height 3-2	PO:0006341
Plant height 3-2	TO:0000207
Plant height 3-3	PO:0006341
Plant height 3-3	TO:0000207
Plant height 3-4	PO:0006341
Plant height 3-4	TO:0000207
Plant height 3-5	PO:0006341
Plant height 3-5	TO:0000207
Plant height 30-1	PO:0006341
Plant height 30-1	TO:0000207
Plant height 30-2	PO:0006341
Plant height 30-2	TO:0000207
Plant height 30-3	PO:0006341
Plant height 30-3	TO:0000207
Plant height 31-1	PO:0006341
Plant height 31-1	TO:0000207
Plant height 31-2	PO:0006341
Plant height 31-2	TO:0000207
Plant height 32-1	PO:0006341
Plant height 32-1	TO:0000207
Plant height 33-1	PO:0006341
Plant height 33-1	TO:0000207
Plant height 33-2	PO:0006341
Plant height 33-2	TO:0000207
Plant height 33-3	PO:0006341
Plant height 33-3	TO:0000207
Plant height 33-4	PO:0006341
Plant height 33-4	TO:0000207
Plant height 33-5	PO:0006341
Plant height 33-5	TO:0000207
Plant height 33-6	PO:0006341
Plant height 33-6	TO:0000207
Plant height 33-7	PO:0006341
Plant height 33-7	TO:0000207
Plant height 33-8	PO:0006341
Plant height 33-8	TO:0000207
Plant height 34-1	PO:0006341
Plant height 34-1	TO:0000207
Plant height 34-2	PO:0006341
Plant height 34-2	TO:0000207
Plant height 34-3	PO:0006341
Plant height 34-3	TO:0000207
Plant height 34-4	PO:0006341
Plant height 34-4	TO:0000207
Plant height 34-5	PO:0006341
Plant height 34-5	TO:0000207
Plant height 34-6	PO:0006341
Plant height 34-6	TO:0000207
Plant height 34-7	PO:0006341
Plant height 34-7	TO:0000207
Plant height 34-8	PO:0006341
Plant height 34-8	TO:0000207
Plant height 35-1	PO:0006341
Plant height 35-1	TO:0000207
Plant height 35-2	PO:0006341
Plant height 35-2	TO:0000207
Plant height 35-3	PO:0006341
Plant height 35-3	TO:0000207
Plant height 35-4	PO:0006341
Plant height 35-4	TO:0000207
Plant height 35-5	PO:0006341
Plant height 35-5	TO:0000207
Plant height 36-1	PO:0006341
Plant height 36-1	TO:0000207
Plant height 37-1	PO:0006341
Plant height 37-1	TO:0000207
Plant height 37-2	PO:0006341
Plant height 37-2	TO:0000207
Plant height 37-3	PO:0006341
Plant height 37-3	TO:0000207
Plant height 37-4	PO:0006341
Plant height 37-4	TO:0000207
Plant height 37-5	PO:0006341
Plant height 37-5	TO:0000207
Plant height 37-6	PO:0006341
Plant height 37-6	TO:0000207
Plant height 37-7	PO:0006341
Plant height 37-7	TO:0000207
Plant height 37-8	PO:0006341
Plant height 37-8	TO:0000207
Plant height 37-9	PO:0006341
Plant height 37-9	TO:0000207
Plant height 38-1	PO:0006341
Plant height 38-1	TO:0000207
Plant height 38-2	PO:0006341
Plant height 38-2	TO:0000207
Plant height 38-3	PO:0006341
Plant height 38-3	TO:0000207
Plant height 38-4	PO:0006341
Plant height 38-4	TO:0000207
Plant height 38-5	PO:0006341
Plant height 38-5	TO:0000207
Plant height 38-6	PO:0006341
Plant height 38-6	TO:0000207
Plant height 38-7	PO:0006341
Plant height 38-7	TO:0000207
Plant height 39-1	PO:0006341
Plant height 39-1	TO:0000207
Plant height 4-1	PO:0006341
Plant height 4-1	TO:0000207
Plant height 4-2	PO:0006341
Plant height 4-2	TO:0000207
Plant height 4-3	PO:0006341
Plant height 4-3	TO:0000207
Plant height 4-4	PO:0006341
Plant height 4-4	TO:0000207
Plant height 40-1	PO:0006341
Plant height 40-1	TO:0000207
Plant height 40-2	PO:0006341
Plant height 40-2	TO:0000207
Plant height 42-1	PO:0006341
Plant height 42-1	TO:0000207
Plant height 5-1	PO:0006341
Plant height 5-1	TO:0000207
Plant height 5-10	PO:0006341
Plant height 5-10	TO:0000207
Plant height 5-11	PO:0006341
Plant height 5-11	TO:0000207
Plant height 5-12	PO:0006341
Plant height 5-12	TO:0000207
Plant height 5-13	PO:0006341
Plant height 5-13	TO:0000207
Plant height 5-14	PO:0006341
Plant height 5-14	TO:0000207
Plant height 5-2	PO:0006341
Plant height 5-2	TO:0000207
Plant height 5-3	PO:0006341
Plant height 5-3	TO:0000207
Plant height 5-4	PO:0006341
Plant height 5-4	TO:0000207
Plant height 5-5	PO:0006341
Plant height 5-5	TO:0000207
Plant height 5-6	PO:0006341
Plant height 5-6	TO:0000207
Plant height 5-7	PO:0006341
Plant height 5-7	TO:0000207
Plant height 5-8	PO:0006341
Plant height 5-8	TO:0000207
Plant height 5-9	PO:0006341
Plant height 5-9	TO:0000207
Plant height 6-1	PO:0006341
Plant height 6-1	TO:0000207
Plant height 6-10	PO:0006341
Plant height 6-10	TO:0000207
Plant height 6-11	PO:0006341
Plant height 6-11	TO:0000207
Plant height 6-12	PO:0006341
Plant height 6-12	TO:0000207
Plant height 6-13	PO:0006341
Plant height 6-13	TO:0000207
Plant height 6-14	PO:0006341
Plant height 6-14	TO:0000207
Plant height 6-2	PO:0006341
Plant height 6-2	TO:0000207
Plant height 6-3	PO:0006341
Plant height 6-3	TO:0000207
Plant height 6-4	PO:0006341
Plant height 6-4	TO:0000207
Plant height 6-5	PO:0006341
Plant height 6-5	TO:0000207
Plant height 6-6	PO:0006341
Plant height 6-6	TO:0000207
Plant height 6-7	PO:0006341
Plant height 6-7	TO:0000207
Plant height 6-8	PO:0006341
Plant height 6-8	TO:0000207
Plant height 6-9	PO:0006341
Plant height 6-9	TO:0000207
Plant height 7-1	PO:0006341
Plant height 7-1	TO:0000207
Plant height 7-2	PO:0006341
Plant height 7-2	TO:0000207
Plant height 7-3	PO:0006341
Plant height 7-3	TO:0000207
Plant height 8-1	PO:0006341
Plant height 8-1	TO:0000207
Plant height 8-2	PO:0006341
Plant height 8-2	TO:0000207
Plant height 8-3	PO:0006341
Plant height 8-3	TO:0000207
Plant height 8-4	PO:0006341
Plant height 8-4	TO:0000207
Plant height 9-1	PO:0006341
Plant height 9-1	TO:0000207
Plant height 9-2	PO:0006341
Plant height 9-2	TO:0000207
Plant height 9-3	PO:0006341
Plant height 9-3	TO:0000207
Plant height to Lodging ratio 1-1	PO:0009006
Plant height to Lodging ratio 1-1	TO:0000068
Plant height to Lodging ratio 1-1	TO:0000207
Plant height to Lodging ratio 1-2	PO:0009006
Plant height to Lodging ratio 1-2	TO:0000068
Plant height to Lodging ratio 1-2	TO:0000207
Plant height to Lodging ratio 1-3	PO:0009006
Plant height to Lodging ratio 1-3	TO:0000068
Plant height to Lodging ratio 1-3	TO:0000207
Plant height to Lodging ratio 2-1	PO:0009006
Plant height to Lodging ratio 2-1	TO:0000068
Plant height to Lodging ratio 2-1	TO:0000207
Plant height to Lodging ratio 2-2	PO:0009006
Plant height to Lodging ratio 2-2	TO:0000068
Plant height to Lodging ratio 2-2	TO:0000207
Plant height to Lodging ratio 2-3	PO:0009006
Plant height to Lodging ratio 2-3	TO:0000068
Plant height to Lodging ratio 2-3	TO:0000207
Plant height to Lodging ratio 2-4	PO:0009006
Plant height to Lodging ratio 2-4	TO:0000068
Plant height to Lodging ratio 2-4	TO:0000207
Plant height to Lodging ratio 3-1	PO:0009006
Plant height to Lodging ratio 3-1	TO:0000068
Plant height to Lodging ratio 3-1	TO:0000207
Plant height to Lodging ratio 3-2	PO:0009006
Plant height to Lodging ratio 3-2	TO:0000068
Plant height to Lodging ratio 3-2	TO:0000207
Plant height to Lodging ratio 4-1	PO:0009006
Plant height to Lodging ratio 4-1	TO:0000068
Plant height to Lodging ratio 4-1	TO:0000207
Plant height to Lodging ratio 4-2	PO:0009006
Plant height to Lodging ratio 4-2	TO:0000068
Plant height to Lodging ratio 4-2	TO:0000207
Plant P 1-1	PO:0000003
Plant P 1-1	TO:0001024
Plant P 1-2	PO:0000003
Plant P 1-2	TO:0001024
Plant P 2-1	PO:0000003
Plant P 2-1	TO:0001024
Plant P 3-1	PO:0000003
Plant P 3-1	TO:0001024
Plant P 3-2	PO:0000003
Plant P 3-2	TO:0001024
Plant P 3-3	PO:0000003
Plant P 3-3	TO:0001024
Plant P 3-4	PO:0000003
Plant P 3-4	TO:0001024
Plant P 3-5	PO:0000003
Plant P 3-5	TO:0001024
Plant P 3-6	PO:0000003
Plant P 3-6	TO:0001024
Plant P 3-7	PO:0000003
Plant P 3-7	TO:0001024
Plant weight 1-1	PO:0000003
Plant weight 1-1	TO:0000352
Plant weight 1-2	PO:0000003
Plant weight 1-2	TO:0000352
Plant weight 2-1	PO:0000003
Plant weight 2-1	TO:0000352
Plant weight 2-2	PO:0000003
Plant weight 2-2	TO:0000352
Plant weight 3-1	PO:0000003
Plant weight 3-1	TO:0000352
Plant weight 3-2	PO:0000003
Plant weight 3-2	TO:0000352
Pod borer 1-1	GO:0009625
Pod borer 1-1	TO:0000961
Pod borer 1-2	GO:0009625
Pod borer 1-2	TO:0000961
Pod borer 1-3	GO:0009625
Pod borer 1-3	TO:0000961
Pod dehiscence 1-1	TO:0000473
Pod dehiscence 1-10	TO:0000473
Pod dehiscence 1-11	TO:0000473
Pod dehiscence 1-12	TO:0000473
Pod dehiscence 1-2	TO:0000473
Pod dehiscence 1-3	TO:0000473
Pod dehiscence 1-4	TO:0000473
Pod dehiscence 1-5	TO:0000473
Pod dehiscence 1-6	TO:0000473
Pod dehiscence 1-7	TO:0000473
Pod dehiscence 1-8	TO:0000473
Pod dehiscence 1-9	TO:0000473
Pod dehiscence 2-1	TO:0000473
Pod dehiscence 3-1	TO:0000473
Pod dehiscence 3-2	TO:0000473
Pod dehiscence 3-3	TO:0000473
Pod dehiscence 3-4	TO:0000473
Pod dehiscence 3-5	TO:0000473
Pod dehiscence 3-6	TO:0000473
Pod dehiscence 3-7	TO:0000473
Pod dehiscence 3-8	TO:0000473
Pod dehiscence 4-1	TO:0000473
Pod dehiscence 4-2	TO:0000473
Pod maturity 1-1	GO:0010154
Pod maturity 1-1	PO:0001040
Pod maturity 1-1	PO:0009010
